,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
10165619,10165619,house,house,464000,forsale,2890,xl,hyperequipped,1946,good,gas,160,5,460,,true,,true,,,,5,,Antwerp,After signing the deed,1946,Good,3,5,371m²square meters,42m²square meters,Hyper equipped,14m²square meters,5,29m²square meters,18m²square meters,17m²square meters,2,2,Yes,No,460m²square meters,Yes,South West,30m²square meters,160 kWh/m²kilowatt hour per square meters,B,20221011-0001387229-RES-2,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 464,000464000 €",€ 786786 €,No,Dorpshart 10 2870- Puurs,http://www.trevi-axus.be,9602 - TK/22084/0,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9920179,9920179,house,mixedusebuilding,295000,forsale,2830,xl,semiequipped,1955,torenovate,gas,788,4,350,,,,,,,,,,Antwerp,After signing the deed,1955,To renovate,2,,80m²square meters,30m²square meters,Semi equipped,8m²square meters,4,17m²square meters,14m²square meters,,2,2,,No,350m²square meters,,,,788 kWh/m²kilowatt hour per square meters,F,Certificaat-20220518-0002606072-KNR-1,1000 kg CO₂/m²,Not specified,No,Gas,Yes,,,Yes,,Non flood zone,Mixed living area (accommodation &amp; economic activities),"€ 295,000295000 €","€ 4,0234023 €",Yes,Dr. Persoonslaan 15 b 2830- Willebroek,http://www.walbersimmo.be,16967 - 3275 TK G,Antwerp,-,7 m,7 mmeters,Yes,"Yes, not conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153226,10153226,housegroup,housegroup,485000-485000,forsale,2275,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138007,10138007,housegroup,housegroup,340980-340980,forsale,2430,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,,Antwerp,,,,,,August 31 2022 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067876,10067876,housegroup,housegroup,342500-342500,forsale,2250,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8878684,8878684,housegroup,housegroup,351700-384000,forsale,2050,xl,,,,,,,,,,,,,,,,1,Antwerp,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,,No,L. de Waelplaats 24A 2000- Antwerpen,http://www.vooruitzicht.be/nl-BE/content/vooruitzicht-bedenker-van-buitengewone-buurten/25/,REGATTA Woningen,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153222,10153222,housegroup,housegroup,449000-477000,forsale,2250,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,No,,No,,,,,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9552264,9552264,housegroup,housegroup,350239-350239,forsale,2430,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,,Antwerp,,,,,,August 31 2022 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033828,10033828,housegroup,housegroup,335000-335000,forsale,2230,xl,,,,,,,,,,,,,,,,1,Antwerp,After signing the deed,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,No,No,No,,,,,No,Theofiel De Biestraat 11 2220- Heist-op-den-Berg,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153006,10153006,housegroup,housegroup,336000-384000,forsale,2500,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146116,10146116,housegroup,housegroup,325000-399000,forsale,2590,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,,No,,,,,No,Theofiel De Biestraat 11 2220- Heist-op-den-Berg,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116667,10116667,housegroup,housegroup,295000-327000,forsale,2450,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
