,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement surface,Attic surface,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Outdoor parking spaces,Attic,Width of the lot on the street,Terrace,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Elevator,Accessible for disabled people,TV cable,Swimming pool,Basement,Garden surface,Terrace surface,Living room,Planning permission obtained,Bedroom 5 surface,As built plan,Available date,Secure access / alarm,Intercom,Professional space,Armored door,Jacuzzi,Sauna,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Garden,Garden orientation,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Extra information,Professional space surface,How many fireplaces?,Obligation to build,Venue of the sale,Single session,Terms of visit,Starting price,Agent's name,Caretaker,Air conditioning,Visio phone,Internet,Type of building,Isolated,Number of annexes,Current monthly revenue,Property name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Monthly charges,Architectural style,Construction delay,Energy performance,Is architect included in sale price,Is blower door test included,Kitchen included,Is outskirts arrangements included,Is safety coordinator included in sale price,Is soil investigation included in price,Is stability engineer included
10160268,10160268,house,house,335000,forsale,6730,xl,usasemiequipped,1964,torenovate,fueloil,489,4,2215,true,true,,,true,,1,,,Belgian Luxembourg,After signing the deed,Arrondissement Virton,1964,To renovate,4,1,"Living area (residential, urban or rural)",Link to the virtual visit,286m²square meters,35m²square meters,Yes,USA semi equipped,13m²square meters,4,15m²square meters,11m²square meters,18m²square meters,13m²square meters,1,1,2,12m²square meters,Yes,52m²square meters,22m²square meters,No,2215m²square meters,Connected,No,489 kWh/m²kilowatt hour per square meters,F,20220317023856,121 kg CO₂/m²,99471 kWh/year,Fuel oil,Yes,"€ 335,000335000 €",€ 726726 €,No,Rue Joseph Netzert 7-9 6700- Arlon,http://www.weinvest.be,4968630,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161791,10161791,house,house,185000,forsale,6880,xl,installed,1971,good,gas,185,2,220,true,true,,true,,,,1,,Belgian Luxembourg,After signing the deed,Zone Centre Province du Luxembourg,1971,Good,3,,Urban,,100m²square meters,20m²square meters,,Installed,11m²square meters,2,10m²square meters,14m²square meters,,,1,,1,,,34m²square meters,,No,220m²square meters,Connected,No,185 kWh/m²kilowatt hour per square meters,C,20220915009356,39 kg CO₂/m²,18713 kWh/year,Gas,Yes,"€ 185,000185000 €",€ 413413 €,No,rue des Corettes 6880- Bertrix,http://honestybastogne.be/,4963570,Belgian Luxembourg,6.14 m,1,Yes,7 mmeters,Yes,52m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033859,10033859,house,mixedusebuilding,185000,forsale,6980,xl,installed,1953,tobedoneup,fueloil,464,4,100,true,true,,,true,,,,,Belgian Luxembourg,After signing the deed,,1953,To be done up,3,,Urban,Link to the virtual visit,226m²square meters,23m²square meters,,Installed,14m²square meters,4,9m²square meters,14m²square meters,11m²square meters,23m²square meters,1,,3,,Yes,59m²square meters,13m²square meters,,100m²square meters,Connected,No,464 kWh/m²kilowatt hour per square meters,F,20211122010359,1152 kg CO₂/m²,74279 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 185,000Make an offer starting from185000 €","€ 2,1292129 €",Yes,Chaussée de l'Ourthe 65 6900- Marche-en-Famenne,http://www.weinvest.be,4808912,Belgian Luxembourg,4 m,,,4.5 mmeters,,98m²square meters,,,,Property partially or completely located in a possible flood zone and located in a circumscribed waterside zone,,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122283,10122283,house,house,550000,forsale,6941,xl,usahyperequipped,1918,asnew,fueloil,355,5,1110,true,true,1110,true,true,,2,6,,Belgian Luxembourg,To be defined,,1918,As new,3,2,Countryside,,330m²square meters,31m²square meters,Yes,USA hyper equipped,32m²square meters,5,48m²square meters,15m²square meters,15m²square meters,15m²square meters,2,2,3,15m²square meters,Yes,,,No,1110m²square meters,Not connected,No,355 kWh/m²kilowatt hour per square meters,E,20210627006901,3115 kg CO₂/m²,159902 kWh/year,Fuel oil,Yes,"€ 550,000550000 €",€ 865865 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4935770,Belgian Luxembourg,24 m,6,Yes,24 mmeters,Yes,250m²square meters,,No,,Property partially or completely located in a circumscribed and recognized flood zone,"Living area (residential, urban or rural)",,,,,Yes,1110m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121408,10121408,house,house,175000,forsale,6870,xl,notinstalled,1940,asnew,fueloil,234,2,721,true,true,,true,,,,,,Belgian Luxembourg,After signing the deed,Zone Nord Province du Luxembourg,1940,As new,2,,Urban,,124m²square meters,30m²square meters,,Not installed,20m²square meters,2,24m²square meters,10m²square meters,,,1,1,2,,,20m²square meters,52m²square meters,No,721m²square meters,Connected,No,234 kWh/m²kilowatt hour per square meters,C,20220913014249,24 kg CO₂/m²,36146 kWh/year,Fuel oil,Yes,"€ 175,000175000 €",€ 530530 €,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4906321,Belgian Luxembourg,5.5 m,,,5.5 mmeters,,,No,No,No,Non flood zone,,No,No,Yes,No,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152278,10152278,house,house,145000,forsale,6672,xl,semiequipped,1949,tobedoneup,wood,623,3,480,true,true,290,true,,,,,,Belgian Luxembourg,After signing the deed,,1949,To be done up,3,,Isolated,,176m²square meters,,,Semi equipped,14m²square meters,3,11m²square meters,11m²square meters,14m²square meters,,2,1,2,,,,,No,480m²square meters,,No,623 kWh/m²kilowatt hour per square meters,G,20210521003747,93 kg CO₂/m²,109795 kWh/year,Wood,Yes,"€ 145,000145000 €",€ 302302 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4966492,Belgian Luxembourg,17.5 m,,Yes,40.4 mmeters,Yes,190m²square meters,No,No,,,"Living area (residential, urban or rural)",No,,Yes,No,Yes,290m²square meters,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162473,10162473,house,house,499000,forsale,6953,xl,installed,1918,good,fueloil,345,5,3225,true,true,3067,true,true,,1,3,,Belgian Luxembourg,After signing the deed,,1918,Good,4,1,Urban,Link to the virtual visit,290m²square meters,47m²square meters,,Installed,13m²square meters,5,13m²square meters,18m²square meters,15m²square meters,16m²square meters,1,,3,26m²square meters,Yes,46m²square meters,104m²square meters,,3225m²square meters,Connected,No,345 kWh/m²kilowatt hour per square meters,E,20220221001669,86 kg CO₂/m²,118184 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 499,000Make an offer starting from499000 €","€ 1,3981398 €",No,Chaussée de l'Ourthe 65 6900- Marche-en-Famenne,http://www.weinvest.be,4695345,Belgian Luxembourg,17 m,3,,43 mmeters,,158m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,3067m²square meters,55m²square meters,,,13m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067823,10067823,house,house,215000,forsale,6990,xl,installed,1850,good,fueloil,688,5,899,true,,705,true,,,1,3,,Belgian Luxembourg,To be defined,,1850,Good,3,1,Isolated,,196m²square meters,26m²square meters,Yes,Installed,18m²square meters,5,17m²square meters,13m²square meters,15m²square meters,12m²square meters,1,1,2,,,,72m²square meters,No,899m²square meters,Not connected,No,688 kWh/m²kilowatt hour per square meters,G,20160822019789,171 kg CO₂/m²,134445 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 215,000Make an offer starting from215000 €",€ 672672 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4809199,Belgian Luxembourg,13 m,3,,19 mmeters,,194m²square meters,No,No,,Recognized flood zone,"Living area (residential, urban or rural)",No,,Yes,No,,705m²square meters,25m²square meters,,Yes,19m²square meters,,December 1 2022 - 12:00 AM,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158640,10158640,house,house,269000,forsale,6990,xl,semiequipped,1976,good,pellet,247,3,3418,,,,,true,,1,7,,Belgian Luxembourg,After signing the deed,,1976,Good,4,1,Countryside,,153m²square meters,32m²square meters,,Semi equipped,7m²square meters,3,11m²square meters,17m²square meters,21m²square meters,,1,1,1,17m²square meters,Yes,,,No,3418m²square meters,,No,247 kWh/m²kilowatt hour per square meters,C,20220512002038,10 kg CO₂/m²,37859 kWh/year,Pellet,,"€ 269,000269000 €",€ 610610 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4968667,Belgian Luxembourg,14 m,7,,49.5 mmeters,,99m²square meters,Yes,No,,Non flood zone,"Living area (residential, urban or rural)",No,,Yes,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087889,10087889,house,house,149000,forsale,6800,xl,notinstalled,1998,torenovate,fueloil,470,1,158,true,,60,true,,,2,1,,Belgian Luxembourg,Depending on the tenant,Zone Centre Province du Luxembourg,1998,To renovate,3,2,"Living area (residential, urban or rural)",,60m²square meters,15m²square meters,,Not installed,8m²square meters,1,11m²square meters,,,,1,,1,,,,20m²square meters,No,158m²square meters,Connected,No,470 kWh/m²kilowatt hour per square meters,F,20220420022685,116 kg CO₂/m²,24684 kWh/year,Fuel oil,Yes,"€ 149,000149000 €",€ 726726 €,No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4894804,Belgian Luxembourg,7.5 m,1,,11 mmeters,,58m²square meters,,,,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,60m²square meters,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
