,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Office,Basement surface,Furnished,Armored door,Surface of the plot,"Gas, water &amp; electricity",Terrace,Elevator,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Shower rooms,Office surface,Attic,Width of the lot on the street,Connection to sewer network,Garden surface,Terrace surface,Accessible for disabled people,Intercom,TV cable,Flood zone type,How many fireplaces?,Garden orientation,As built plan,Living room,Dressing room,Laundry room,Professional space,Basement,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Number of annexes,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Garden,Planning permission obtained,Subdivision permit,Total ground floor buildable,Attic surface,Obligation to build,Conformity certification for fuel tanks,Professional space surface,E-level (overall energy performance),Agent's name,Property name,Isolated,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Percentage rented,EPC description,Maximum duration of annuity
10157561,10157561,house,exceptionalproperty,1950000,forsale,3080,xl,usahyperequipped,1971,good,gas,214,5,4000,,true,,true,true,true,3,4,,Flemish Brabant,After signing the deed,Périphérie (- de 20 Km autour de Bruxelles),1971,Good,4,3,4,Isolated,Link to the virtual visit,520m²square meters,65m²square meters,Yes,USA hyper equipped,18m²square meters,5,37m²square meters,33m²square meters,21m²square meters,16m²square meters,17m²square meters,3,4,Yes,30m²square meters,No,Yes,4000m²square meters,Yes,Yes,No,Yes,Yes,214 kWh/m²kilowatt hour per square meters,C,20141029-000169118-00000001-3,Not specified,Not specified,Gas,Yes,"€ 1,950,0001950000 €","€ 5,3255325 €",No,Avenue de Tervueren 446 1150- Bruxelles,http://www.jj-properties.be,4956906,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150923,10150923,house,house,625000,forsale,1950,xl,hyperequipped,1991,good,gas,256,4,390,true,,260,true,true,,1,2,,Flemish Brabant,To be defined,Omgeving Kraainem,1991,Good,3,1,2,Isolated,,190m²square meters,44m²square meters,,Hyper equipped,9m²square meters,4,17m²square meters,16m²square meters,10m²square meters,8m²square meters,,2,2,Yes,,No,,390m²square meters,Yes,,No,,No,256 kWh/m²kilowatt hour per square meters,C,0002686656-RES-1,Not specified,Not specified,Gas,,"€ 625,000625000 €","€ 2,3422342 €",No,"Wezembeeklaan, 120 1950- Kraainem",http://www.keystones.be,4960416,Flemish Brabant,September 1 2023 - 12:00 AM,7 m,2,10m²square meters,Yes,10 mmeters,Connected,260m²square meters,10m²square meters,No,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919729,9919729,house,villa,790000,forsale,1640,xl,hyperequipped,1960,asnew,gas,216,5,566,,true,256,true,,,3,2,,Flemish Brabant,After signing the deed,,1960,As new,4,3,2,"Living area (residential, urban or rural)",Link to the virtual visit,201m²square meters,46m²square meters,,Hyper equipped,14m²square meters,5,20m²square meters,17m²square meters,15m²square meters,11m²square meters,10m²square meters,1,3,,18m²square meters,No,Yes,566m²square meters,Yes,,,Yes,,216 kWh/m²kilowatt hour per square meters,C,20220517-0002605235-RES-1,Not specified,Not specified,Gas,Yes,"€ 790,000790000 €","€ 4,0254025 €",No,"Chaussée de Mons, 303 1480- Tubize",http://www.bestpartner.be,10737 - 2,Flemish Brabant,,13 m,1,,,20 mmeters,,256m²square meters,15m²square meters,,,,Non flood zone,1,West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158745,10158745,house,house,349000,forsale,3010,xl,installed,1934,good,gas,263,2,340,,true,250,true,,,1,1,,Flemish Brabant,After signing the deed,,1934,Good,2,1,1,,,120m²square meters,,Yes,Installed,,2,,,,,,1,2,No,,,No,340m²square meters,Yes,,No,No,No,263 kWh/m²kilowatt hour per square meters,C,20220902-0002664037-RES-1,Not specified,Not specified,Gas,No,"€ 349,000349000 €",€ 420420 €,No,,,,Flemish Brabant,,,,,,,Connected,250m²square meters,30m²square meters,No,No,Yes,Non flood zone,,South,,Yes,No,Yes,No,Yes,No,No,No,No,South,1,No,No,No,No,No,Yes,No,No,No,No,All kind,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149675,10149675,house,house,650000,forsale,1650,xl,installed,1991,good,gas,304,4,1169,,,,true,true,,1,,,Flemish Brabant,After signing the deed,,1991,Good,4,1,,,,180m²square meters,40m²square meters,,Installed,16m²square meters,4,16m²square meters,10m²square meters,10m²square meters,,,1,2,Yes,,No,,1169m²square meters,,Yes,,,,304 kWh/m²kilowatt hour per square meters,D,20220901-0002666668-RES-1,Not specified,Not specified,Gas,Yes,"€ 650,000650000 €","€ 2,2502250 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7787 - 3612,Flemish Brabant,,,,12m²square meters,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154065,10154065,house,house,398000,forsale,1780,xl,semiequipped,1963,torenovate,gas,458,6,515,,true,,true,,,,2,,Flemish Brabant,After signing the deed,,1963,To renovate,2,,2,,,414m²square meters,,,Semi equipped,,6,,,,,,1,3,,,No,,515m²square meters,,Yes,,,,458 kWh/m²kilowatt hour per square meters,E,Certificaat-20220713-0002640218-RES-1.pdf,Not specified,Not specified,Gas,Yes,"€ 398,000398000 €","€ 1,7271727 €",No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1783656 - 2022/258/S,Flemish Brabant,,,,,,,,,,,,,Non flood zone,1,North East,No,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164121,10164121,house,exceptionalproperty,2950000,forsale,1970,xl,hyperequipped,1989,good,gas,179,7,7816,true,true,7500,true,true,true,1,4,,Flemish Brabant,After signing the deed,R Kraainem Wezembeek,1989,Good,4,1,4,"Living area (residential, urban or rural)",Link to the virtual visit,500m²square meters,70m²square meters,,Hyper equipped,25m²square meters,7,30m²square meters,22m²square meters,20m²square meters,18m²square meters,18m²square meters,5,4,Yes,,No,Yes,7816m²square meters,Yes,,No,Yes,Yes,179 kWh/m²kilowatt hour per square meters,B,455646516516+854,17 kg CO₂/m²,Not specified,Gas,Yes,"€ 2,950,0002950000 €",,No,Bld. Brand Whitlock 108 1200- Woluwe-Saint-Lambert,,4971476,Flemish Brabant,September 1 2022 - 12:00 AM,,2,22m²square meters,Yes,,Connected,7500m²square meters,150m²square meters,Yes,Yes,,Non flood zone,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,Park area,,,,625m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10164082,10164082,house,mixedusebuilding,599000,forsale,1780,xl,usahyperequipped,1960,good,gas,646,3,560,true,true,325,true,true,,1,,,Flemish Brabant,To be defined,,1960,Good,2,1,,Urban,Link to the virtual visit,205m²square meters,50m²square meters,,USA hyper equipped,,3,14m²square meters,15m²square meters,15m²square meters,,,1,3,Yes,18m²square meters,No,,560m²square meters,,,,,,646 kWh/m²kilowatt hour per square meters,F,20221003-0002687578-RES-1,Not specified,Not specified,Gas,,"€ 599,000599000 €","€ 2,9022902 €",Yes,Av.de la Brise 46 1020- Bruxelles,http://www.urban-concept.be,4933388,Flemish Brabant,,11 m,1,14m²square meters,,,Connected,325m²square meters,25m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209m²square meters,30m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10149679,10149679,house,house,324000,forsale,1755,xl,installed,1973,good,gas,280,3,264,,true,150,true,,,2,1,,Flemish Brabant,After signing the deed,,1973,Good,2,2,1,,,200m²square meters,31m²square meters,,Installed,10m²square meters,3,15m²square meters,14m²square meters,7m²square meters,,,1,2,,,No,,264m²square meters,Yes,,,,,280 kWh/m²kilowatt hour per square meters,C,20220929-0002685019-RES-1,Not specified,Not specified,Gas,Yes,"€ 324,000324000 €",€ 823823 €,No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7766 - 3498,Flemish Brabant,,,,,,6.9 mmeters,,150m²square meters,20m²square meters,,,,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163967,10163967,housegroup,housegroup,670000-675000,forsale,1970,xl,,,,,,,,,,,,,,,1,1,Flemish Brabant,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Tramlaan 249 1933- Sterrebeek,http://www.kasperkent.be,780 - Moore Houses -,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,
