,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room,Kitchen type,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Basement surface,Attic surface,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Planning permission obtained,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Neighbourhood or locality,Living room surface,Dining room,Kitchen surface,Shower rooms,Office surface,Office,Professional space surface,Basement,Attic,Furnished,Terrace surface,Double glazing,Garden orientation,As built plan,Secure access / alarm,Garden,Intercom,E-level (overall energy performance),Thermic solar panels,Visio phone,How many fireplaces?,Conformity certification for fuel tanks,Agent's name,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Dressing room,Laundry room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Heat pump,Photovoltaic solar panels,Common water heater,Value of the property,Current monthly revenue,Professional space,Terrace orientation,Jacuzzi,Sauna,Internet,Type of building,Obligation to build,Monthly charges,Air conditioning,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Isolated,Number of annexes,Property name,Monthly rental price
10164869,10164869,house,house,299000,forsale,4960,xl,semiequipped,1957,tobedoneup,fueloil,713,8,2319,true,true,1873,true,,,1,6,,Liege,After signing the deed,1957,To be done up,14.5 m,4,1,6,Urban,Link to the virtual visit,788m²square meters,Yes,Semi equipped,8,17m²square meters,21m²square meters,18m²square meters,23m²square meters,21m²square meters,2,4,119m²square meters,99m²square meters,2319m²square meters,25.98 mmeters,Not connected,No,1873m²square meters,Yes,No,No,Yes,No,713 kWh/m²kilowatt hour per square meters,G,20200622007350,178 kg CO₂/m²,173 kWh/year,Fuel oil,Yes,145m²square meters,No,No,No,Property partially or completely located in a possible flood zone and located in a circumscribed waterside zone,"Living area (residential, urban or rural)","€ 299,000299000 €","€ 1,4971497 €",No,Chaussée de l'Ourthe 65 6900- Marche-en-Famenne,http://www.weinvest.be,4972632,Liege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143366,10143366,house,exceptionalproperty,849000,forsale,4607,xl,hyperequipped,1899,good,fueloil,245,6,16959,true,true,15324,true,true,,1,1,,Liege,To be defined,1899,Good,13 m,4,1,1,Isolated,Link to the virtual visit,1010m²square meters,,Hyper equipped,6,36m²square meters,15m²square meters,15m²square meters,14m²square meters,13m²square meters,3,4,,,16959m²square meters,275 mmeters,,No,15324m²square meters,,,,,,245 kWh/m²kilowatt hour per square meters,C,20220812007352,61 kg CO₂/m²,76890 kWh/year,Fuel oil,Yes,348m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 849,000Make an offer starting from849000 €","€ 1,4561456 €",No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4861727,Liege,September 30 2023 - 12:00 AM,Basse Meuse,40m²square meters,Yes,21m²square meters,3,13m²square meters,Yes,167m²square meters,Yes,Yes,No,80m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151895,10151895,house,house,235000,forsale,4257,xl,semiequipped,1900,tobedoneup,fueloil,510,3,945,true,true,400,true,,,,,,Liege,After signing the deed,1900,To be done up,41 m,4,,,Countryside,,155m²square meters,,Semi equipped,3,6m²square meters,12m²square meters,16m²square meters,,,1,2,27m²square meters,110m²square meters,945m²square meters,,Connected,No,400m²square meters,Yes,,,,,510 kWh/m²kilowatt hour per square meters,F,20201005010094,128 kg CO₂/m²,105321 kWh/year,Fuel oil,,237m²square meters,No,,,,"Living area (residential, urban or rural)","€ 235,000235000 €",€ 510510 €,No,Chaussée de Tirlemont 15/1 4260- Braives,http://www.immodemarneffe.be,4966677,Liege,,Hannut et 5 kms,24m²square meters,Yes,25m²square meters,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165375,10165375,house,house,289000,forsale,4500,xl,semiequipped,1958,good,fueloil,312,3,204,,true,100,true,true,,1,,,Liege,After signing the deed,1958,Good,7 m,4,1,,Urban,,290m²square meters,,Semi equipped,3,,,,,,1,2,,,204m²square meters,7 mmeters,,Yes,100m²square meters,,,,,,312 kWh/m²kilowatt hour per square meters,D,20220617017391,76 kg CO₂/m²,90274 kWh/year,Fuel oil,,,,,,,,"Make an offer starting from€ 289,000Make an offer starting from289000 €","€ 1,6171617 €",No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,3078 - 2447,Liege,,,30m²square meters,,,,14m²square meters,Yes,,Yes,,No,10m²square meters,Yes,North East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145147,10145147,house,countrycottage,325000,forsale,4052,xl,notinstalled,1900,torenovate,fueloil,372,4,555,true,true,380,true,true,,1,,,Liege,After signing the deed,1900,To renovate,20 m,4,1,,"Living area (residential, urban or rural)",,180m²square meters,,Not installed,4,28m²square meters,13m²square meters,12m²square meters,12m²square meters,,3,2,,,555m²square meters,20 mmeters,Not connected,No,380m²square meters,Yes,No,No,Yes,No,372 kWh/m²kilowatt hour per square meters,E,20220930001900,92 kg CO₂/m²,108270 kWh/year,Fuel oil,,170m²square meters,,,,Non flood zone,,"€ 325,000325000 €",€ 870870 €,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4945925,Liege,January 1 2023 - 12:00 AM,,34m²square meters,Yes,19m²square meters,2,18m²square meters,Yes,,Yes,Yes,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955479,9955479,house,house,239000,forsale,4020,xl,semiequipped,1997,tobedoneup,electric,712,3,503,,,250,true,,,1,2,,Liege,After signing the deed,1997,To be done up,,3,1,2,Isolated,,120m²square meters,,Semi equipped,3,20m²square meters,14m²square meters,9m²square meters,,,2,2,,,503m²square meters,,,,250m²square meters,,,,,,712 kWh/m²kilowatt hour per square meters,G,20220310000153,203 kg CO₂/m²,87179 kWh/year,Electric,,,Yes,No,,,"Living area (residential, urban or rural)","€ 239,000239000 €","€ 1,0161016 €",No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4788363,Liege,October 1 2022 - 12:00 AM,Grand Liège,,,,2,,,,,,No,32m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151664,10151664,house,house,195000,forsale,4870,xl,installed,2014,torenovate,gas,199,4,401,true,,400,,,,1,1,,Liege,After signing the deed,2014,To renovate,,4,1,1,Isolated,,125m²square meters,,Installed,4,13m²square meters,13m²square meters,9m²square meters,8m²square meters,,1,1,,,401m²square meters,,,,400m²square meters,,,,,,199 kWh/m²kilowatt hour per square meters,C,20150923013181,37 kg CO₂/m²,31112 kWh/year,Gas,,,,,,,,"€ 195,000195000 €",€ 880880 €,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4964888,Liege,November 1 2022 - 12:00 AM,"Trooz, Nessonvaux, Fraipont",32m²square meters,,9m²square meters,,,,,,Yes,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160090,10160090,house,exceptionalproperty,545000,forsale,4671,xl,notinstalled,1900,torenovate,fueloil,532,8,2200,true,true,,true,true,,1,5,,Liege,After signing the deed,1900,To renovate,,4,1,5,"Living area (residential, urban or rural)",,282m²square meters,Yes,Not installed,8,20m²square meters,18m²square meters,16m²square meters,15m²square meters,15m²square meters,1,2,,,2200m²square meters,,Connected,No,,Yes,No,No,,No,532 kWh/m²kilowatt hour per square meters,G,20220415007967,131 kg CO₂/m²,150262 kWh/year,Fuel oil,,,,,,,,"€ 545,000545000 €","€ 1,0511051 €",No,Rue Bonne Fortune 9 4000- Liège,https://www.engelvoelkers.com/fr-be/liege/,4969097,Liege,October 10 2022 - 12:00 AM,,,Yes,20m²square meters,,,Yes,,Yes,Yes,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162190,10162190,house,house,190000,forsale,4500,xl,semiequipped,1890,tobedoneup,gas,454,5,1768,,true,,true,,,1,,,Liege,After signing the deed,1890,To be done up,,2,1,,,,180m²square meters,,Semi equipped,5,,,,,,2,2,,,1768m²square meters,,,Yes,,Yes,,,,,454 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,Gas,,,,,,,,"Make an offer starting from€ 190,000Make an offer starting from190000 €",€ 919919 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,16155 - 111114774,Liege,,,31m²square meters,,,,,,,Yes,,No,,Yes,North East,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147032,10147032,house,house,159000,forsale,4430,xl,semiequipped,1899,good,fueloil,448,2,335,true,true,171,true,true,,,,,Liege,After signing the deed,1899,Good,5 m,2,,,Isolated,Link to the virtual visit,122m²square meters,,Semi equipped,2,17m²square meters,13m²square meters,,,,1,1,,,335m²square meters,5 mmeters,Connected,No,171m²square meters,,No,No,Yes,No,448 kWh/m²kilowatt hour per square meters,F,20220824006893,111 kg CO₂/m²,111 kWh/year,Fuel oil,Yes,97m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 159,000Make an offer starting from159000 €",€ 441441 €,No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4862172,Liege,November 12 2022 - 12:00 AM,,14m²square meters,Yes,13m²square meters,1,32m²square meters,Yes,,Yes,Yes,No,20m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
