,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Elevator,Accessible for disabled people,Intercom,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Outdoor parking spaces,Garden surface,Garden orientation,Conformity certification for fuel tanks,Covered parking spaces,Terrace surface,Planning permission obtained,Agent's name,Garden,Terrace,E-level (overall energy performance),Neighbourhood or locality,Attic surface,Bedroom 4 surface,Bedroom 5 surface,Basement surface,Professional space surface,Secure access / alarm,Living room,How many fireplaces?,Dressing room,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Obligation to build,Terrace orientation,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Maximum duration of annuity,Monthly charges,Number of annexes,Percentage rented,Property name,EPC description,Extra information,Age of annuitant
10149128,10149128,house,house,159000,forsale,5000,xl,installed,1900,good,gas,252,3,40,true,true,,,true,,,,,Namur,After signing the deed,December 1 2022 - 12:00 AM,1900,Good,8 m,2,Urban,Link to the virtual visit,106m²square meters,19m²square meters,Yes,Installed,14m²square meters,3,25m²square meters,25m²square meters,11m²square meters,1,2,2,7m²square meters,Yes,Yes,Yes,No,40m²square meters,8 mmeters,Connected,Yes,No,No,Yes,Yes,No,252 kWh/m²kilowatt hour per square meters,C,20190815007886,47 kg CO₂/m²,30697 kWh/year,No,Gas,Yes,40m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 159,000Make an offer starting from159000 €",€ 438438 €,No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4933897,Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092062,10092062,house,house,250000,forsale,5030,xl,notinstalled,1874,torenovate,wood,544,3,940,,,760,,,,,3,,Namur,After signing the deed,,1874,To renovate,9 m,3,Countryside,Link to the virtual visit,110m²square meters,11m²square meters,,Not installed,,3,15m²square meters,14m²square meters,10m²square meters,1,,1,,,,,No,940m²square meters,16 mmeters,,Yes,,,,,,544 kWh/m²kilowatt hour per square meters,G,20220824024766,135 kg CO₂/m²,67148 kWh/year,No,Wood,Yes,,,,,,,"€ 250,000250000 €",€ 461461 €,No,Chaussee de Charleroi 59 B 5030- Gembloux,http://www.trevitessier.be,137 - 93363896,Namur,3,760m²square meters,South East,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9869852,9869852,house,house,245000,forsale,5330,xl,semiequipped,1975,good,electric,531,3,1373,true,,12,true,,,1,3,,Namur,Depending on the tenant,August 31 2023 - 12:00 AM,1975,Good,12 m,4,Isolated,,100m²square meters,31m²square meters,Yes,Semi equipped,12m²square meters,3,9m²square meters,12m²square meters,12m²square meters,1,1,1,,,,Yes,No,1373m²square meters,,Connected,No,,,,,,531 kWh/m²kilowatt hour per square meters,G,Not specified,77 kg CO₂/m²,54865 kWh/year,,Electric,,,,,,,,"Make an offer starting from€ 245,000Make an offer starting from245000 €",€ 671671 €,No,"Avenue des Cerisiers, 212 1200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4732026,Namur,3,12m²square meters,,,1,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120244,10120244,housegroup,housegroup,289000-289000,forsale,5570,xl,,,,,,,,,,,,,,,,1,Namur,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,RWPEB-109082,Not specified,Not specified,,,,,Yes,No,No,Non flood zone,,,,No,Rue De Bouillon 59 5570- Beauraing,http://www.condrogest.be,,Namur,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155846,10155846,house,apartmentblock,225000,forsale,5070,xl,installed,,justrenovated,pellet,1010,2,127,,,,true,true,,1,,,Namur,After signing the deed,,,Just renovated,,3,,,130m²square meters,36m²square meters,,Installed,12m²square meters,2,17m²square meters,15m²square meters,,1,1,2,18m²square meters,Yes,,,No,127m²square meters,,,,,,,,,1010 kWh/m²kilowatt hour per square meters,G,20150928009675,252 kg CO₂/m²,72678 kWh/year,No,Pellet,,,,,,,,"€ 225,000225000 €",€ 401401 €,Yes,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5824 - 4604162,Namur,,,,,1,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031926,10031926,house,house,274500,forsale,5377,xl,installed,2002,good,fueloil,283,3,1277,,,,true,,,,3,,Namur,After signing the deed,,2002,Good,,4,,,128m²square meters,,,Installed,,3,29m²square meters,16m²square meters,12m²square meters,,1,1,,,,,No,1277m²square meters,25 mmeters,,Yes,,,,Yes,,283 kWh/m²kilowatt hour per square meters,D,20211124026692,70 kg CO₂/m²,38190 kWh/year,No,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 274,500Make an offer starting from274500 €",€ 739739 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,15817 - 111114653,Namur,3,,North West,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127113,10127113,house,house,175000,forsale,5300,xl,semiequipped,1965,tobedoneup,fueloil,396,3,1067,,true,,true,,,1,,,Namur,,,1965,To be done up,,4,,,115m²square meters,,,Semi equipped,6m²square meters,3,15m²square meters,12m²square meters,11m²square meters,,2,2,,,Yes,,No,1067m²square meters,,,,,,,Yes,,396 kWh/m²kilowatt hour per square meters,E,20220921003172,Not specified,58092 kWh/year,No,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 175,000Make an offer starting from175000 €",€ 736736 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,16050 - 111114744,Namur,,,South East,,1,,,,Yes,Yes,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143250,10143250,house,house,50000,forsale,5360,xl,installed,,good,fueloil,437,2,3716,true,true,,true,,,1,1,,Namur,To be defined,,,Good,,4,Countryside,Link to the virtual visit,145m²square meters,50m²square meters,,Installed,6m²square meters,2,18m²square meters,13m²square meters,,1,,2,,,Yes,,No,3716m²square meters,,Not connected,No,,,,,,437 kWh/m²kilowatt hour per square meters,F,20180105000137,108 kg CO₂/m²,75264 kWh/year,,Fuel oil,,,,,,,,"€ 50,00050000 €",€ 653653 €,No,Route de Marche 25 5580- Rochefort,https://honesty.be/,4904448,Namur,1,,,,1,,,,,Yes,,Zone Province de Namur,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152351,10152351,house,house,300000,forsale,5640,xl,,,tobedoneup,fueloil,382,5,784,,true,,,true,,1,,,Namur,After signing the deed,,,To be done up,,2,,,340m²square meters,40m²square meters,Yes,,23m²square meters,5,23m²square meters,23m²square meters,23m²square meters,1,,1,23m²square meters,Yes,,,No,784m²square meters,,,,,,,,,382 kWh/m²kilowatt hour per square meters,E,20160218018020,Not specified,157056 kWh/year,No,Fuel oil,,,,,,,,"€ 300,000300000 €",€ 716716 €,No,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5452 - 4604150,Namur,,,South,,1,,,,Yes,,,,,21m²square meters,13m²square meters,38m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097797,10097797,house,house,235000,forsale,5190,xl,installed,1880,justrenovated,fueloil,407,4,80,,true,32,true,true,,,1,,Namur,After signing the deed,,1880,Just renovated,9 m,3,,,159m²square meters,21m²square meters,Yes,Installed,13m²square meters,4,20m²square meters,15m²square meters,12m²square meters,,1,1,15m²square meters,Yes,Yes,,No,80m²square meters,9 mmeters,,,,,,,,407 kWh/m²kilowatt hour per square meters,E,20130507001927,101 kg CO₂/m²,70060 kWh/year,No,Fuel oil,,,,,,,,"€ 235,000235000 €",€ 324324 €,No,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5361 - 4604139,Namur,1,32m²square meters,South,"Yes, conform",,32m²square meters,,,,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
