,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace surface,Elevator,Accessible for disabled people,TV cable,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Total ground floor buildable,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Dining room,Basement surface,Attic surface,Swimming pool,Double glazing,Available date,Office surface,Office,Thermic solar panels,Basement,Attic,Terrace,Subdivision permit,Professional space surface,Intercom,Property name,Conformity certification for fuel tanks,Extra information,Current monthly revenue,Secure access / alarm,Living room,Bedroom 5 surface,Armored door,Caretaker,Visio phone,Professional space,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Garden orientation,Terrace orientation,Heat pump,Photovoltaic solar panels,Common water heater,Agent's name,How many fireplaces?,Garden,E-level (overall energy performance),Number of annexes,Sauna,Monthly charges,Air conditioning,Jacuzzi,Internet,Type of building,Obligation to build,Isolated,Venue of the sale,Single session,Starting price,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Terms of visit,Percentage rented,Maximum duration of annuity,Age of annuitants
10142058,10142058,house,villa,550000,forsale,1325,xl,installed,1976,tobedoneup,fueloil,225,4,1886,,,1737,true,,,1,6,,Waloon Brabant,After signing the deed,Brabant Wallon,1976,To be done up,12 m,4,1,6,Isolated,Link to the virtual visit,203m²square meters,35m²square meters,Installed,16m²square meters,4,16m²square meters,17m²square meters,17m²square meters,14m²square meters,1,1,3,No,1886m²square meters,24.5 mmeters,Connected,No,1737m²square meters,30m²square meters,No,No,Yes,225 kWh/m²kilowatt hour per square meters,C,20220823018352,Not specified,57454 kWh/year,"Yes, conform",Fuel oil,Yes,149m²square meters,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 550,000550000 €","€ 3,1903190 €",No,Avenue Fond Jean Rosy 17A 1330- Rixensart,http://www.weinvest.be,4901035,Waloon Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166833,10166833,house,house,380000,forsale,1420,xl,hyperequipped,1953,tobedoneup,gas,303,3,510,true,true,430,true,,,1,1,,Waloon Brabant,Immediately,,1953,To be done up,7 m,3,1,1,Urban,Link to the virtual visit,151m²square meters,41m²square meters,Hyper equipped,10m²square meters,3,16m²square meters,11m²square meters,10m²square meters,,1,1,2,,510m²square meters,7 mmeters,Connected,Yes,430m²square meters,7m²square meters,No,No,Yes,303 kWh/m²kilowatt hour per square meters,D,20220928004803,Not specified,72885 kWh/year,,Gas,,70m²square meters,,,Non flood zone,,"€ 380,000380000 €","€ 1,5691569 €",No,Chemin de la Bruyère 58 1473- Glabais,http://www.immonest.be,4928527,Waloon Brabant,Yes,9m²square meters,59m²square meters,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159324,10159324,house,house,595000,forsale,1420,xl,hyperequipped,1880,asnew,gas,235,3,564,,,,true,true,true,,1,,Waloon Brabant,To be defined,Brabant Wallon,1880,As new,15 m,3,,1,Isolated,,180m²square meters,48m²square meters,Hyper equipped,13m²square meters,3,25m²square meters,13m²square meters,13m²square meters,,1,1,2,No,564m²square meters,11.3 mmeters,Connected,Yes,,14m²square meters,No,No,Yes,235 kWh/m²kilowatt hour per square meters,C,20210709005960,40 kg CO₂/m²,36393 kWh/year,,Gas,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 595,000Make an offer starting from595000 €",,No,Avenue Fond Jean Rosy 17A 1330- Rixensart,http://www.weinvest.be,4905198,Waloon Brabant,,,,Yes,Yes,April 30 2023 - 12:00 AM,13m²square meters,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9976911,9976911,house,house,260000,forsale,1421,xl,semiequipped,1930,good,fueloil,420,3,695,,true,550,true,true,,1,1,,Waloon Brabant,After signing the deed,Braine L'Alleud et environs,1930,Good,14 m,3,1,1,,,120m²square meters,16m²square meters,Semi equipped,12m²square meters,3,15m²square meters,13m²square meters,29m²square meters,,1,1,1,No,695m²square meters,14 mmeters,Connected,No,550m²square meters,10m²square meters,,,,420 kWh/m²kilowatt hour per square meters,E,20220609003908,105 kg CO₂/m²,55983 kWh/year,,Fuel oil,,125m²square meters,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 260,000Make an offer starting from260000 €",€ 494494 €,No,Chaussée d'Alsemberg 967 1420- Braine l'Alleud,http://www.wellianss.com,4783902,Waloon Brabant,Yes,,,,Yes,,12m²square meters,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161860,10161860,house,house,935000,forsale,1470,xl,usahyperequipped,1875,asnew,fueloil,321,4,13638,true,true,13473,true,true,,,8,,Waloon Brabant,After signing the deed,Genappe,1875,As new,18 m,3,,8,Countryside,,328m²square meters,53m²square meters,USA hyper equipped,18m²square meters,4,24m²square meters,15m²square meters,9m²square meters,9m²square meters,2,2,4,No,13638m²square meters,72 mmeters,Not connected,No,13473m²square meters,,,,,321 kWh/m²kilowatt hour per square meters,D,20221008004847,321 kg CO₂/m²,105048 kWh/year,No,Fuel oil,,165m²square meters,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 935,000Make an offer starting from935000 €","€ 1,2121212 €",No,Grand Place 2 1470- Genappe,http://www.daloze.be,4966727,Waloon Brabant,Yes,,,,Yes,,15m²square meters,Yes,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9774377,9774377,house,house,345000,forsale,1390,xl,semiequipped,1974,tobedoneup,fueloil,388,3,871,true,true,700,true,,,1,1,,Waloon Brabant,After signing the deed,,1974,To be done up,8.4 m,4,1,1,Countryside,,115m²square meters,33m²square meters,Semi equipped,12m²square meters,3,12m²square meters,10m²square meters,10m²square meters,,1,,2,No,871m²square meters,14.77 mmeters,Not connected,No,700m²square meters,30m²square meters,,,,388 kWh/m²kilowatt hour per square meters,E,20211104004939,96 kg CO₂/m²,84080 kWh/year,,Fuel oil,,,,,,,"€ 345,000345000 €","€ 2,1212121 €",No,Place Ernest Dubois 6 1390- Grez-Doiceau,,4672944,Waloon Brabant,Yes,,,,Yes,April 1 2022 - 12:00 AM,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9817246,9817246,house,house,300000,forsale,1471,xl,usahyperequipped,1918,good,gas,341,2,613,,true,400,true,true,,1,7,,Waloon Brabant,After signing the deed,Braine L'Alleud et environs,1918,Good,11 m,2,1,7,,,160m²square meters,19m²square meters,USA hyper equipped,20m²square meters,2,18m²square meters,11m²square meters,,,1,1,2,No,613m²square meters,11 mmeters,Connected,Yes,400m²square meters,35m²square meters,No,No,,341 kWh/m²kilowatt hour per square meters,E,20190416015765,63 kg CO₂/m²,76059 kWh/year,,Gas,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 300,000Make an offer starting from300000 €","€ 1,3541354 €",No,Chaussée d'Alsemberg 967 1420- Braine l'Alleud,http://www.wellianss.com,3749107,Waloon Brabant,Yes,,,,Yes,,,Yes,,Yes,,,No,10m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155861,10155861,house,apartmentblock,230000,forsale,1400,xl,notinstalled,1955,torenovate,gas,404,4,165,,true,,true,,,,,,Waloon Brabant,After signing the deed,Collégiale,1955,To renovate,7 m,2,,,Shop street,,123m²square meters,21m²square meters,Not installed,8m²square meters,4,20m²square meters,15m²square meters,13m²square meters,9m²square meters,1,,2,No,165m²square meters,7 mmeters,,Yes,,8m²square meters,,,,404 kWh/m²kilowatt hour per square meters,E,20220228007460,1000 kg CO₂/m²,58709 kWh/year,No,Gas,,,,,,,"€ 230,000230000 €","€ 3,1943194 €",Yes,Chaussée de Mons 14 1400- Nivelles,http://www.trevilogis.be,181568 - 111114745,Waloon Brabant,Yes,41m²square meters,,,Yes,,,,,,,,,,,Namur 4,No,To be separate,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161247,10161247,house,villa,475000,forsale,1495,xl,installed,1974,good,fueloil,420,3,2907,true,,2740,true,,,1,2,,Waloon Brabant,After signing the deed,Villers-la-Ville,1974,Good,19 m,4,1,2,Countryside,,230m²square meters,15m²square meters,Installed,21m²square meters,3,15m²square meters,14m²square meters,10m²square meters,,1,1,2,No,2907m²square meters,33 mmeters,Not connected,No,2740m²square meters,,No,No,,420 kWh/m²kilowatt hour per square meters,E,20220928019458,Not specified,96666 kWh/year,No,Fuel oil,,160m²square meters,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 475,000Make an offer starting from475000 €",,No,Grand Place 2 1470- Genappe,http://www.daloze.be,4970229,Waloon Brabant,Yes,,,No,Yes,,,,,,Yes,Yes,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087294,10087294,house,house,399000,forsale,1300,xl,installed,1940,torenovate,fueloil,584,4,3882,,true,,true,,,1,4,,Waloon Brabant,After signing the deed,Brabant Wallon,1940,To renovate,15 m,4,1,4,Isolated,Link to the virtual visit,215m²square meters,,Installed,9m²square meters,4,30m²square meters,16m²square meters,14m²square meters,8m²square meters,2,1,2,No,3882m²square meters,14 mmeters,Connected,No,,40m²square meters,No,No,Yes,584 kWh/m²kilowatt hour per square meters,G,20220706011215,146 kg CO₂/m²,161499 kWh/year,"Yes, conform",Fuel oil,Yes,130m²square meters,No,No,,"Living area (residential, urban or rural)","€ 399,000399000 €","€ 2,2132213 €",No,Avenue Fond Jean Rosy 17A 1330- Rixensart,http://www.weinvest.be,4898487,Waloon Brabant,Yes,47m²square meters,,No,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
