,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10148020,10148020,house,villa,765000,forsale,8790,xl,hyperequipped,2000,good,gas,231,4,763,,true,,,,true,,2,,West Flanders,After signing the deed,2000,Good,4,2,245m²square meters,1,Hyper equipped,21m²square meters,4,17m²square meters,14m²square meters,9m²square meters,1,2,6m²square meters,No,763m²square meters,Yes,South,Yes,Yes,231 kWh/m²kilowatt hour per square meters,C,20160518-0001862882-1,Not specified,Not specified,No,Gas,Yes,"€ 765,000765000 €","€ 1,0551055 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20727 - VK 4126,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166253,10166253,house,house,635000,forsale,8300,xl,installed,,asnew,gas,313,2,507,,,218,,,,1,4,,West Flanders,After signing the deed,,As new,4,4,177m²square meters,1,Installed,,2,,,,1,2,,No,507m²square meters,,South West,No,No,313 kWh/m²kilowatt hour per square meters,D,2691326,Not specified,Not specified,,Gas,No,"€ 635,000635000 €",€ 867867 €,Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1201,West Flanders,15 m,1,"Living area (residential, urban or rural)",Yes,Yes,No,25 mmeters,218m²square meters,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165753,10165753,house,villa,465000,forsale,8540,xl,installed,1976,tobedoneup,gas,433,4,2068,,true,,true,,,1,,,West Flanders,After signing the deed,1976,To be done up,4,,280m²square meters,,Installed,10m²square meters,4,24m²square meters,18m²square meters,,1,1,,No,2068m²square meters,Yes,South,,,433 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 465,000465000 €","€ 1,4971497 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20850 - VK4267,West Flanders,,1,,,,,,,,,,,,,,,,,No,,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083477,10083477,house,house,975000,forsale,8300,xl,hyperequipped,2004,good,gas,147,5,164,,,,true,,,1,1,,West Flanders,,2004,Good,2,1,166m²square meters,,Hyper equipped,,5,,,,3,4,,,164m²square meters,Yes,East,No,No,147 kWh/m²kilowatt hour per square meters,B,20131223-0001504944-00000002-6,Not specified,Not specified,,Gas,Yes,"€ 975,000975000 €","€ 1,3211321 €",No,Zeedijk-Het Zoute 819 8300- Knokke,http://www.immo-cauwe.be,V703,West Flanders,5 m,1,Countryside,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,Yes,3,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093752,10093752,house,villa,569000,forsale,8020,xl,installed,1997,good,fueloil,288,4,1320,,,730,,,,2,3,,West Flanders,After signing the deed,1997,Good,4,3,191m²square meters,,Installed,,4,,,,2,2,,No,1320m²square meters,,South West,No,No,288 kWh/m²kilowatt hour per square meters,C,2474682,Not specified,Not specified,No,Fuel oil,Yes,"€ 569,000569000 €","€ 1,0531053 €",No,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1176,West Flanders,13 m,2,"Living area (residential, urban or rural)",Yes,No,No,21 mmeters,730m²square meters,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,Yes,125m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9948447,9948447,house,house,235000,forsale,8531,m,installed,1930,torenovate,fueloil,744,3,563,,true,,,,,,,,West Flanders,,1930,To renovate,,,131m²square meters,,Installed,,3,,,,1,2,,,563m²square meters,Yes,North West,No,No,744 kWh/m²kilowatt hour per square meters,F,20220524-0002610598-RES-1,Not specified,Not specified,,Fuel oil,Yes,"€ 235,000235000 €",,No,Gentseweg 556A 8793- Waregem,,VK22017LM,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,No,No,No,No,Connected,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9441206,9441206,housegroup,housegroup,250000-250000,forsale,8650,xl,,,,,,,,,,,,,,,,1,West Flanders,To be defined,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,De Breyne Pellaertstraat 13 8600- Diksmuide,,,West Flanders,,,,,,,,,,,,,,,,,,,No,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165751,10165751,house,villa,385000,forsale,8792,xl,installed,1964,tobedoneup,fueloil,407,4,1032,,true,,,,,1,,,West Flanders,,1964,To be done up,4,,290m²square meters,,Installed,20m²square meters,4,21m²square meters,21m²square meters,18m²square meters,2,2,2m²square meters,No,1032m²square meters,,,,,407 kWh/m²kilowatt hour per square meters,E,20220715-0002641966-RES-1,Not specified,Not specified,No,Fuel oil,,"€ 385,000385000 €","€ 1,3601360 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20842 - VK 4100,West Flanders,,1,,,,,,,,,,,,,"Yes, conform",,,,No,,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,March 15 2023 - 12:00 AM,17m²square meters,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070683,10070683,housegroup,housegroup,321000-352000,forsale,8660,xl,,,,,,,,,,,,,,,,1,West Flanders,To be defined,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Kinderlaan 17 8670- Oostduinkerke,,,West Flanders,,,,,,,,,,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9899874,9899874,housegroup,housegroup,340000-380000,forsale,8820,xl,,,,,30,,,,,,,,,,,1,West Flanders,At delivery,,,,,,,,,,,,,,,,,,,,,,30 kWh/m²kilowatt hour per square meters,A,Nog te bepalen,30 kg CO₂/m²,Not specified,,,,,,No,Moerkerkse Steenweg 1 8310- Brugge,http://www.immax.be,4754822,West Flanders,,,,,,,,,,,,,,,,,Yes,,No,,Non flood zone,,,,,Yes,,,,,,,,,,,April 1 2023 - 12:00 AM,,,Torhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
