,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10165619,10165619,house,house,464000,forsale,2890,xl,hyperequipped,1946,good,gas,160,5,460,,true,,true,,,,5,,Antwerp
9920179,9920179,house,mixedusebuilding,295000,forsale,2830,xl,semiequipped,1955,torenovate,gas,788,4,350,,,,,,,,,,Antwerp
10153226,10153226,housegroup,housegroup,485000-485000,forsale,2275,xl,,,,,,,,,,,,,,,,1,Antwerp
10138007,10138007,housegroup,housegroup,340980-340980,forsale,2430,xl,,,,,,,,,,,,,,,,1,Antwerp
10067876,10067876,housegroup,housegroup,342500-342500,forsale,2250,xl,,,,,,,,,,,,,,,,1,Antwerp
8878684,8878684,housegroup,housegroup,351700-384000,forsale,2050,xl,,,,,,,,,,,,,,,,1,Antwerp
10153222,10153222,housegroup,housegroup,449000-477000,forsale,2250,xl,,,,,,,,,,,,,,,,1,Antwerp
9552264,9552264,housegroup,housegroup,350239-350239,forsale,2430,xl,,,,,,,,,,,,,,,,1,Antwerp
10033828,10033828,housegroup,housegroup,335000-335000,forsale,2230,xl,,,,,,,,,,,,,,,,1,Antwerp
10153006,10153006,housegroup,housegroup,336000-384000,forsale,2500,xl,,,,,,,,,,,,,,,,1,Antwerp
10146116,10146116,housegroup,housegroup,325000-399000,forsale,2590,xl,,,,,,,,,,,,,,,,1,Antwerp
10116667,10116667,housegroup,housegroup,295000-327000,forsale,2450,xl,,,,,,,,,,,,,,,,1,Antwerp
9911454,9911454,housegroup,housegroup,340000-370000,forsale,2850,xl,,,,,,,,,,,,,,,,1,Antwerp
9214164,9214164,housegroup,housegroup,277500-337500,forsale,2440,xl,,,,,,,,,,,,,,,,1,Antwerp
9996848,9996848,housegroup,housegroup,356500-361500,forsale,2381,xl,,,,,,,,,,,,,,,,1,Antwerp
10091462,10091462,housegroup,housegroup,490000-499000,forsale,2250,xl,,,,,,,,,,,,,,,,1,Antwerp
10127053,10127053,housegroup,housegroup,359000-359000,forsale,2270,xl,,,,,,,,,,,,,,,,1,Antwerp
10131302,10131302,housegroup,housegroup,449500-461250,forsale,2860,xl,,,,,,,,,,,,,,,,1,Antwerp
9953126,9953126,housegroup,housegroup,573850-607489,forsale,2811,xl,,,,,,,,,,,,,,,,1,Antwerp
10058734,10058734,house,villa,699500,forsale,2550,xl,installed,1984,asnew,gas,240,3,799,true,true,656,true,,,1,1,,Antwerp
10156828,10156828,house,villa,629900,forsale,2390,xl,installed,1968,good,gas,404,4,1349,,,1000,,,,,,,Antwerp
10110568,10110568,house,villa,3250000,forsale,2930,xl,hyperequipped,1936,good,gas,300,5,10431,,true,8500,true,true,true,5,10,,Antwerp
10156164,10156164,house,house,499000,forsale,2980,xl,installed,1976,good,gas,350,3,1353,,,,,,,,,,Antwerp
10160076,10160076,house,house,1245000,forsale,2890,xl,hyperequipped,1932,good,gas,242,6,632,,true,,,,,1,,,Antwerp
10165836,10165836,house,house,485000,forsale,2830,xl,semiequipped,1956,torenovate,fueloil,812,4,1000,,true,,true,,,5,5,,Antwerp
10083513,10083513,house,house,329000,forsale,2830,xl,installed,1940,justrenovated,,173,3,100,true,true,,true,true,,,,,Antwerp
10163537,10163537,house,townhouse,370000,forsale,2660,xl,installed,1968,good,,343,3,150,,,36,true,,,1,2,,Antwerp
10071168,10071168,house,house,369000,forsale,2630,xl,installed,1973,tobedoneup,fueloil,426,3,324,,,130,true,,,1,,,Antwerp
10154111,10154111,house,house,586000,forsale,2960,xl,installed,2006,good,gas,150,4,380,,,120,true,,,1,,,Antwerp
