,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10160268,10160268,house,house,335000,forsale,6730,xl,usasemiequipped,1964,torenovate,fueloil,489,4,2215,true,true,,,true,,1,,,Belgian Luxembourg
10161791,10161791,house,house,185000,forsale,6880,xl,installed,1971,good,gas,185,2,220,true,true,,true,,,,1,,Belgian Luxembourg
10033859,10033859,house,mixedusebuilding,185000,forsale,6980,xl,installed,1953,tobedoneup,fueloil,464,4,100,true,true,,,true,,,,,Belgian Luxembourg
10122283,10122283,house,house,550000,forsale,6941,xl,usahyperequipped,1918,asnew,fueloil,355,5,1110,true,true,1110,true,true,,2,6,,Belgian Luxembourg
10121408,10121408,house,house,175000,forsale,6870,xl,notinstalled,1940,asnew,fueloil,234,2,721,true,true,,true,,,,,,Belgian Luxembourg
10152278,10152278,house,house,145000,forsale,6672,xl,semiequipped,1949,tobedoneup,wood,623,3,480,true,true,290,true,,,,,,Belgian Luxembourg
10162473,10162473,house,house,499000,forsale,6953,xl,installed,1918,good,fueloil,345,5,3225,true,true,3067,true,true,,1,3,,Belgian Luxembourg
10067823,10067823,house,house,215000,forsale,6990,xl,installed,1850,good,fueloil,688,5,899,true,,705,true,,,1,3,,Belgian Luxembourg
10158640,10158640,house,house,269000,forsale,6990,xl,semiequipped,1976,good,pellet,247,3,3418,,,,,true,,1,7,,Belgian Luxembourg
10087889,10087889,house,house,149000,forsale,6800,xl,notinstalled,1998,torenovate,fueloil,470,1,158,true,,60,true,,,2,1,,Belgian Luxembourg
10158270,10158270,house,house,450000,forsale,6700,xl,installed,1966,good,fueloil,461,3,865,true,true,758,true,true,,1,3,,Belgian Luxembourg
10015238,10015238,housegroup,housegroup,289000-309000,forsale,6840,xl,,,,,,,,,,,,,,,,1,Belgian Luxembourg
10109987,10109987,house,house,319000,forsale,6800,xl,notinstalled,1963,good,fueloil,403,5,1152,true,true,1000,true,,,1,1,,Belgian Luxembourg
10153406,10153406,house,villa,265000,forsale,6940,xl,notinstalled,1955,torenovate,,850,4,1180,true,true,1180,true,,,1,2,,Belgian Luxembourg
9659836,9659836,house,house,1250000,forsale,6900,xl,installed,2010,asnew,electric,317,17,1500,,,,true,,,,16,,Belgian Luxembourg
10158239,10158239,house,house,525000,forsale,6600,xl,,2006,good,fueloil,182,4,1150,,true,,,true,,,,,Belgian Luxembourg
10155565,10155565,house,house,360000,forsale,6600,xl,,1918,justrenovated,gas,84,3,85,,true,,true,true,,,,,Belgian Luxembourg
10130500,10130500,house,house,225000,forsale,6980,xl,notinstalled,1900,torenovate,fueloil,1165,3,780,true,true,700,,,,,2,,Belgian Luxembourg
10123941,10123941,house,house,225000,forsale,6987,xl,notinstalled,1900,torenovate,fueloil,1165,3,780,true,true,700,,,,,2,,Belgian Luxembourg
10060316,10060316,house,house,330000,forsale,6700,xl,semiequipped,1947,tobedoneup,fueloil,442,4,370,,true,,,,,1,2,,Belgian Luxembourg
9997643,9997643,house,house,275000,forsale,6870,xl,semiequipped,1977,good,fueloil,355,5,784,true,true,,true,true,,1,2,,Belgian Luxembourg
9765430,9765430,house,house,160000,forsale,6780,xl,semiequipped,1900,torenovate,fueloil,434,4,279,,,,,,,1,,,Belgian Luxembourg
10091653,10091653,house,villa,319000,forsale,6690,xl,,1965,tobedoneup,fueloil,468,4,1112,true,true,946,,,,3,5,,Belgian Luxembourg
10077187,10077187,house,house,385000,forsale,6600,xl,usainstalled,2023,asnew,,38,3,650,true,true,137,true,,,2,2,1,Belgian Luxembourg
10104039,10104039,house,house,395000,forsale,6790,xl,semiequipped,1966,tobedoneup,fueloil,338,2,1046,,true,,,,,1,4,,Belgian Luxembourg
10141767,10141767,house,house,200000,forsale,6720,xl,notinstalled,1850,torenovate,,702,4,568,true,,348,true,,,2,4,,Belgian Luxembourg
10156630,10156630,house,house,145000,forsale,6823,xl,installed,,good,electric,895,3,410,,true,,,,,,,,Belgian Luxembourg
10154572,10154572,house,house,279000,forsale,6941,xl,,2022,asnew,electric,244,3,300,true,,,true,,,,1,1,Belgian Luxembourg
10118685,10118685,house,countrycottage,189000,forsale,6940,xl,installed,1918,tobedoneup,,662,3,720,true,true,720,true,true,,1,3,,Belgian Luxembourg
10065530,10065530,house,house,99000,forsale,6870,xl,notinstalled,1874,torenovate,,295,3,196,true,true,80,true,,,,,,Belgian Luxembourg
10166702,10166702,house,house,459000,forsale,6900,xl,usahyperequipped,2018,asnew,gas,68,4,399,,,283,true,true,,1,2,,Belgian Luxembourg
10145550,10145550,house,house,199000,forsale,6760,xl,installed,,torenovate,fueloil,344,5,543,,true,200,true,,,1,2,,Belgian Luxembourg
10149645,10149645,house,house,299000,forsale,6717,xl,notinstalled,,torenovate,fueloil,343,3,491,,true,,true,,,2,,,Belgian Luxembourg
10007084,10007084,house,house,160000,forsale,6980,xl,notinstalled,1899,torenovate,fueloil,509,3,682,,,,,,,,,,Belgian Luxembourg
9965078,9965078,house,countrycottage,150000,forsale,6830,xl,notinstalled,1954,torenovate,fueloil,547,4,1345,,,,,,,,,,Belgian Luxembourg
10141228,10141228,house,house,249000,forsale,6741,xl,semiequipped,1875,torenovate,fueloil,614,3,427,,true,,,,,1,1,,Belgian Luxembourg
9679905,9679905,house,mixedusebuilding,639000,forsale,6900,xl,installed,1940,good,fueloil,253,5,40100,true,true,,true,true,,,5,,Belgian Luxembourg
10160306,10160306,house,townhouse,145000,forsale,6870,xl,semiequipped,,good,fueloil,428,3,0,true,,,true,,,1,,,Belgian Luxembourg
10054504,10054504,house,house,259500,forsale,6800,xl,notinstalled,1975,torenovate,fueloil,463,4,929,,true,820,true,,,1,1,,Belgian Luxembourg
10132757,10132757,house,house,290000,forsale,6800,xl,semiequipped,1919,torenovate,fueloil,584,4,606,true,true,460,true,,,1,2,,Belgian Luxembourg
10072094,10072094,house,house,340000,forsale,6840,xl,usainstalled,1963,asnew,fueloil,208,3,916,true,true,,true,true,,1,1,,Belgian Luxembourg
9974578,9974578,house,house,299000,forsale,6900,xl,semiequipped,,tobedoneup,fueloil,323,6,1203,,,,true,,,1,4,,Belgian Luxembourg
10126311,10126311,house,house,249000,forsale,6950,xl,semiequipped,1910,tobedoneup,fueloil,474,3,2361,true,true,2091,true,,,1,2,,Belgian Luxembourg
10132761,10132761,house,house,360000,forsale,6790,xl,semiequipped,,torenovate,fueloil,340,4,1000,true,,560,,,,1,4,,Belgian Luxembourg
10072747,10072747,house,house,465000,forsale,6780,xl,installed,2004,good,fueloil,296,5,1522,,,,,,,1,3,,Belgian Luxembourg
10103785,10103785,house,house,550000,forsale,6640,xl,usahyperequipped,2015,asnew,electric,66,5,968,,true,968,true,,,,,,Belgian Luxembourg
10123939,10123939,house,house,549000,forsale,6890,xl,notinstalled,1958,torenovate,fueloil,494,6,1145,true,,950,true,,,1,4,,Belgian Luxembourg
9998989,9998989,house,house,290000,forsale,6850,xl,hyperequipped,2023,asnew,gas,78,4,320,true,,190,true,,,1,2,1,Belgian Luxembourg
10111099,10111099,house,house,480000,forsale,6700,xl,,1850,,fueloil,398,5,1455,,,,,,,1,5,,Belgian Luxembourg
10118937,10118937,house,house,299000,forsale,6997,xl,,2010,,gas,84,3,975,,,,true,,,1,,,Belgian Luxembourg
10162296,10162296,house,house,455000,forsale,6700,xl,hyperequipped,,good,gas,129,5,164,,,,true,,,1,,,Belgian Luxembourg
10071315,10071315,house,countrycottage,99000,forsale,6673,xl,,1948,torestore,fueloil,542,3,2600,,,,,,,,,,Belgian Luxembourg
9993692,9993692,house,house,299000,forsale,6850,xl,hyperequipped,2023,asnew,gas,78,4,350,true,,240,true,,,1,2,1,Belgian Luxembourg
9916441,9916441,house,house,315000,forsale,6640,xl,,1964,tobedoneup,fueloil,474,4,1200,,,,,true,,,,,Belgian Luxembourg
9982323,9982323,house,house,320000,forsale,6600,xl,,1899,tobedoneup,pellet,254,4,2276,,,,,,,,,,Belgian Luxembourg
9979984,9979984,house,house,250000,forsale,6750,xl,,1850,torenovate,fueloil,472,3,589,,true,365,,,,,,,Belgian Luxembourg
9866055,9866055,house,house,169000,forsale,6870,xl,,1850,justrenovated,fueloil,321,2,48,,,,,,,,,,Belgian Luxembourg
9990624,9990624,house,house,350000,forsale,6700,xl,,1959,tobedoneup,gas,464,5,450,,true,,true,,,,,,Belgian Luxembourg
10146941,10146941,house,house,830000,forsale,6717,xl,hyperequipped,2007,good,fueloil,194,4,1310,,true,,true,true,,2,3,,Belgian Luxembourg
10145549,10145549,house,house,465000,forsale,6760,xl,installed,1860,asnew,fueloil,161,6,1420,true,true,1000,true,,,,,,Belgian Luxembourg
10147739,10147739,house,house,195000,forsale,6840,xl,notinstalled,1874,torenovate,fueloil,382,4,1117,,true,,,,,,,,Belgian Luxembourg
10138648,10138648,house,house,295000,forsale,6690,xl,notinstalled,1963,tobedoneup,fueloil,334,4,501,true,true,,true,true,,2,6,,Belgian Luxembourg
10139279,10139279,house,villa,345000,forsale,6687,xl,installed,1994,good,fueloil,166,4,2437,,,,,,,1,,,Belgian Luxembourg
