,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10160112,10160112,house,house,735000,forsale,1200,xl,usahyperequipped,1964,asnew,gas,227,3,188,true,true,47,true,true,,1,1,,Brussels
10165546,10165546,house,house,495000,forsale,1150,xl,hyperequipped,1910,good,,180,3,80,true,true,20,true,,,,,,Brussels
10164028,10164028,house,house,749000,forsale,1150,xl,notinstalled,1914,good,gas,345,4,220,true,true,150,true,true,,,,,Brussels
10008023,10008023,house,house,1790000,forsale,1180,xl,usahyperequipped,1930,asnew,gas,565,4,290,,true,140,true,true,,1,,,Brussels
10164841,10164841,house,house,499000,forsale,1140,xl,usahyperequipped,1971,good,fueloil,526,3,177,,,,true,,,1,1,,Brussels
10163242,10163242,house,apartmentblock,970000,forsale,1050,xl,usasemiequipped,1907,torestore,gas,500,7,339,,,88,true,,,,,,Brussels
10164033,10164033,house,house,700000,forsale,1030,xl,usahyperequipped,1930,good,gas,317,8,100,true,,,true,,true,,,,Brussels
10160097,10160097,house,house,650000,forsale,1200,xl,usainstalled,1918,tobedoneup,gas,273,3,104,,,,true,,,,,,Brussels
10161789,10161789,house,house,720000,forsale,1200,xl,notinstalled,1913,torenovate,fueloil,321,5,176,true,true,45,true,,,,,,Brussels
10160134,10160134,house,house,450000,forsale,1020,xl,hyperequipped,1971,good,gas,413,3,122,,,64,true,,,,,,Brussels
10164029,10164029,house,house,475000,forsale,1200,xl,notinstalled,1951,torenovate,gas,831,3,270,true,true,150,true,,,1,2,,Brussels
10164035,10164035,house,house,695000,forsale,1150,xl,semiequipped,1932,good,gas,434,5,360,,true,215,true,true,,1,1,,Brussels
10165341,10165341,house,villa,1490000,forsale,1160,xl,hyperequipped,1969,asnew,gas,207,4,486,,true,200,true,true,,1,1,,Brussels
10163054,10163054,house,mixedusebuilding,1795000,forsale,1030,xl,notinstalled,1899,torenovate,gas,388,39,450,,true,,,,,,,,Brussels
10166537,10166537,house,apartmentblock,2890000,forsale,1180,xl,usahyperequipped,1927,justrenovated,gas,246,8,230,,true,,,,,1,1,,Brussels
10158111,10158111,house,house,495000,forsale,1150,xl,usainstalled,1950,good,gas,307,3,97,true,true,,true,,,,,,Brussels
10157542,10157542,house,house,675000,forsale,1150,xl,semiequipped,1965,good,gas,315,4,243,true,,100,,true,,1,1,,Brussels
10146862,10146862,house,villa,895000,forsale,1150,xl,installed,1961,torenovate,fueloil,274,3,300,true,,200,true,true,,1,1,,Brussels
10156593,10156593,house,house,1800000,forsale,1030,xl,,1923,torenovate,fueloil,414,9,1050,,true,715,true,,,2,1,,Brussels
10158359,10158359,house,house,750000,forsale,1030,xl,,1930,tobedoneup,gas,560,6,282,,true,110,true,,,1,1,,Brussels
10164627,10164627,house,apartmentblock,2890000,forsale,1050,xl,usahyperequipped,1927,justrenovated,gas,246,8,230,,true,,,,,1,1,,Brussels
10163196,10163196,house,apartmentblock,1175000,forsale,1080,xl,hyperequipped,2012,good,gas,122,0,120,,,,,,,,1,,Brussels
10151618,10151618,house,mixedusebuilding,455000,forsale,1020,xl,hyperequipped,1890,good,gas,549,4,187,true,true,119,true,true,,,,,Brussels
10039330,10039330,house,mansion,710000,forsale,1000,xl,hyperequipped,1899,torenovate,gas,294,5,241,,true,130,true,,,,,,Brussels
10142887,10142887,house,house,750000,forsale,1150,xl,installed,1936,torenovate,gas,424,4,360,true,true,,true,,,1,1,,Brussels
10152241,10152241,house,house,1780000,forsale,1180,xl,installed,1900,good,gas,373,7,450,,true,300,true,true,,3,,,Brussels
10145907,10145907,house,apartmentblock,800000,forsale,1190,xl,installed,1924,tobedoneup,fueloil,445,4,263,,true,140,true,true,,,,,Brussels
10161786,10161786,house,mixedusebuilding,1450000,forsale,1200,xl,hyperequipped,1900,good,gas,571,4,83,,,,,,,,,,Brussels
10148614,10148614,house,house,760000,forsale,1200,xl,installed,1958,good,gas,290,5,178,true,true,75,true,true,,1,,,Brussels
10149241,10149241,house,house,450000,forsale,1150,xl,installed,1968,torenovate,gas,287,3,170,true,true,50,true,,,,,,Brussels
10147189,10147189,house,house,475000,forsale,1150,xl,hyperequipped,1931,justrenovated,gas,546,3,246,true,true,85,true,,,,2,,Brussels
10166870,10166870,house,apartmentblock,650000,forsale,1083,xl,usasemiequipped,1910,good,gas,,4,141,,true,44,true,true,,,,,Brussels
10164694,10164694,house,apartmentblock,890000,forsale,1190,xl,,1953,torenovate,gas,,0,630,true,true,502,,,,2,2,,Brussels
