,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10164218,10164218,house,countrycottage,350000,forsale,9810,xl,usainstalled,1900,torestore,fueloil,1081,2,885,,,770,,true,,,5,,East Falnders
10161665,10161665,house,house,359000,forsale,9600,xl,hyperequipped,1956,asnew,fueloil,178,4,1424,true,true,952,true,,,1,8,,East Falnders
10146903,10146903,house,house,345000,forsale,9000,xl,usainstalled,1941,good,gas,280,4,49,true,,,,,,,,,East Falnders
10161587,10161587,house,house,599000,forsale,9300,xl,installed,1938,good,fueloil,295,5,393,,true,170,true,,,,,,East Falnders
10163547,10163547,house,house,395000,forsale,9220,xl,hyperequipped,1997,good,gas,145,2,257,,,,true,,,3,,,East Falnders
10166681,10166681,housegroup,housegroup,327000-329000,forsale,9500,xl,,,,,,,,,,,,,,,,1,East Falnders
10164692,10164692,house,otherproperty,435000,forsale,9500,xl,semiequipped,1979,torenovate,fueloil,592,4,936,,,,,,,1,,,East Falnders
10161792,10161792,house,house,658500,forsale,9890,xl,usahyperequipped,2005,good,gas,229,4,620,true,,400,true,true,,1,2,,East Falnders
10120644,10120644,house,house,499000,forsale,9700,xl,,2006,asnew,gas,214,2,272,,true,,true,,,,1,,East Falnders
10161801,10161801,housegroup,housegroup,350528-412542,forsale,9800,xl,,,,,,,,,,,,,,,,1,East Falnders
10157751,10157751,house,house,770000,forsale,9700,xl,installed,1962,good,gas,177,4,735,,,,true,true,,1,6,,East Falnders
10166680,10166680,house,house,425000,forsale,9050,xl,semiequipped,1957,tobedoneup,gas,356,3,238,true,true,115,true,,,,1,,East Falnders
10165299,10165299,house,house,395000,forsale,9220,xl,hyperequipped,1997,good,gas,145,2,257,,,,true,,,3,,,East Falnders
10151862,10151862,housegroup,housegroup,365000-555000,forsale,9040,xl,,,,,,,,,,,,,,,,1,East Falnders
10164685,10164685,house,villa,435000,forsale,9500,xl,semiequipped,1979,torenovate,fueloil,592,4,936,,,,,,,1,,,East Falnders
10166781,10166781,house,house,145000,forsale,9600,xl,hyperequipped,1900,tobedoneup,gas,579,3,51,true,,,,,,,,,East Falnders
10164217,10164217,house,villa,1150000,forsale,9551,xl,hyperequipped,2013,asnew,gas,93,6,1154,true,,700,true,,true,1,6,,East Falnders
10154806,10154806,house,house,245000,forsale,9700,xl,installed,1961,tobedoneup,gas,319,3,176,true,true,40,true,,,,2,,East Falnders
10143136,10143136,house,apartmentblock,450000,forsale,9600,xl,installed,1885,good,gas,217,6,460,true,,215,true,,,,,,East Falnders
10140837,10140837,house,house,129000,forsale,9600,xl,notinstalled,1936,torenovate,gas,649,3,610,,,430,,,,,3,,East Falnders
10163512,10163512,house,house,449000,forsale,9170,xl,installed,1996,good,gas,198,3,653,,,,true,,,1,2,,East Falnders
10084879,10084879,house,house,325000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,193,,,37,true,true,,,,1,East Falnders
10138446,10138446,housegroup,housegroup,395000-395000,forsale,9230,xl,,,,,,,,,,,,,,,,1,East Falnders
10084878,10084878,house,house,325000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,195,,,39,true,true,,,,1,East Falnders
10084880,10084880,house,house,339000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,191,,,35,true,true,,,,1,East Falnders
10138497,10138497,house,house,359000,forsale,9600,xl,hyperequipped,1956,asnew,fueloil,178,4,1424,true,true,952,true,,,1,8,,East Falnders
10084877,10084877,house,house,345000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,208,,,44,true,true,,,,1,East Falnders
10099203,10099203,house,house,159000,forsale,9600,xl,semiequipped,1930,tobedoneup,gas,346,2,300,,,230,,,,,,,East Falnders
10008305,10008305,house,house,225000,forsale,9600,xl,installed,1948,asnew,gas,141,4,190,true,,85,true,,,,,,East Falnders
10004225,10004225,house,house,185000,forsale,9600,xl,hyperequipped,1900,good,gas,247,2,140,true,,56,true,,,,,,East Falnders
10081752,10081752,house,townhouse,245000,forsale,9600,xl,semiequipped,1958,tobedoneup,gas,296,3,169,true,true,104,,true,,1,,,East Falnders
9995587,9995587,house,house,249500,forsale,9600,xl,hyperequipped,1900,good,fueloil,376,4,280,,,150,true,,,,,,East Falnders
9969349,9969349,house,mixedusebuilding,305000,forsale,9600,xl,installed,1900,torenovate,gas,651,5,1195,true,true,555,true,true,,2,6,,East Falnders
10119830,10119830,house,mansion,279000,forsale,9600,xl,installed,1945,justrenovated,gas,208,5,156,true,true,,true,true,,,,,East Falnders
10092051,10092051,house,house,269000,forsale,9000,xl,notinstalled,1918,torestore,gas,675,5,150,,true,48,,,,,,,East Falnders
9899652,9899652,house,house,265000,forsale,9600,xl,installed,1925,justrenovated,gas,192,3,675,true,,450,true,,,,,,East Falnders
10081543,10081543,house,house,260000,forsale,9280,xl,installed,1955,good,fueloil,538,3,238,true,,100,true,,,,1,,East Falnders
10099202,10099202,house,house,375000,forsale,9700,xl,installed,1969,justrenovated,gas,198,3,744,true,true,425,true,,,1,3,,East Falnders
10129594,10129594,housegroup,housegroup,310500-354500,forsale,9600,xl,,,,,,,,,,,,,,,,1,East Falnders
10099123,10099123,house,house,359000,forsale,9000,xl,usainstalled,1946,good,gas,393,4,70,true,true,,true,,,,,,East Falnders
10115913,10115913,housegroup,housegroup,317203-484545.5,forsale,9160,xl,,,,,,,,,,,,,,,,1,East Falnders
10087732,10087732,housegroup,housegroup,325000-380000,forsale,9890,xl,,,,,,,,,,,,,,,,1,East Falnders
10004706,10004706,housegroup,housegroup,349500-399000,forsale,9660,xl,,,,,,,,,,,,,,,,1,East Falnders
9817868,9817868,housegroup,housegroup,359000-399000,forsale,9220,xl,,,,,,,,,,,,,,,,1,East Falnders
9836043,9836043,housegroup,housegroup,405000-405000,forsale,9870,xl,,,,,,,,,,,,,,,,1,East Falnders
10117342,10117342,house,villa,589000,forsale,9041,xl,installed,2003,good,gas,265,4,703,,,420,true,,,1,3,,East Falnders
10107467,10107467,house,house,380000,forsale,9140,xl,installed,1958,torenovate,gas,773,4,902,,true,800,true,,,1,3,,East Falnders
