,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10157561,10157561,house,exceptionalproperty,1950000,forsale,3080,xl,usahyperequipped,1971,good,gas,214,5,4000,,true,,true,true,true,3,4,,Flemish Brabant
10150923,10150923,house,house,625000,forsale,1950,xl,hyperequipped,1991,good,gas,256,4,390,true,,260,true,true,,1,2,,Flemish Brabant
9919729,9919729,house,villa,790000,forsale,1640,xl,hyperequipped,1960,asnew,gas,216,5,566,,true,256,true,,,3,2,,Flemish Brabant
10158745,10158745,house,house,349000,forsale,3010,xl,installed,1934,good,gas,263,2,340,,true,250,true,,,1,1,,Flemish Brabant
10149675,10149675,house,house,650000,forsale,1650,xl,installed,1991,good,gas,304,4,1169,,,,true,true,,1,,,Flemish Brabant
10154065,10154065,house,house,398000,forsale,1780,xl,semiequipped,1963,torenovate,gas,458,6,515,,true,,true,,,,2,,Flemish Brabant
10164121,10164121,house,exceptionalproperty,2950000,forsale,1970,xl,hyperequipped,1989,good,gas,179,7,7816,true,true,7500,true,true,true,1,4,,Flemish Brabant
10164082,10164082,house,mixedusebuilding,599000,forsale,1780,xl,usahyperequipped,1960,good,gas,646,3,560,true,true,325,true,true,,1,,,Flemish Brabant
10149679,10149679,house,house,324000,forsale,1755,xl,installed,1973,good,gas,280,3,264,,true,150,true,,,2,1,,Flemish Brabant
10163967,10163967,housegroup,housegroup,670000-675000,forsale,1970,xl,,,,,,,,,,,,,,,1,1,Flemish Brabant
10154577,10154577,housegroup,housegroup,670000-675000,forsale,1970,xl,,,,,115,,,,,,,,,1,1,1,Flemish Brabant
10165759,10165759,house,villa,1195000,forsale,1933,xl,installed,1969,good,fueloil,452,7,1241,,,,true,,,2,5,,Flemish Brabant
10149158,10149158,house,house,495000,forsale,3070,xl,usahyperequipped,1932,good,gas,321,5,187,true,true,70,true,true,,1,,,Flemish Brabant
9935270,9935270,house,villa,570000,forsale,1570,xl,hyperequipped,1989,asnew,fueloil,262,4,1000,true,true,1000,true,true,,2,2,,Flemish Brabant
10120616,10120616,house,house,600000,forsale,1850,xl,,1963,torenovate,fueloil,700,4,2875,,true,,,,,,,,Flemish Brabant
10149681,10149681,house,house,650000,forsale,1654,xl,installed,1991,good,gas,304,4,1169,,,,true,true,,1,,,Flemish Brabant
10140459,10140459,housegroup,housegroup,415000-449000,forsale,1745,xl,,,,,,,,,,,,,,,,1,Flemish Brabant
10159480,10159480,house,house,700000,forsale,1650,xl,installed,1990,good,gas,258,5,1102,,,,true,true,,1,,,Flemish Brabant
10161655,10161655,house,house,295000,forsale,1640,xl,semiequipped,,justrenovated,gas,487,2,228,,true,133,true,,,,,,Flemish Brabant
10068979,10068979,house,house,320000,forsale,1700,xl,semiequipped,1950,good,gas,178,3,95,true,true,30,,,,,,,Flemish Brabant
10120498,10120498,housegroup,housegroup,364500-369500,forsale,3271,xl,,,,,,,,,,,,,,,,1,Flemish Brabant
9623528,9623528,house,house,375000,forsale,1620,xl,installed,1920,tobedoneup,gas,370,4,160,true,true,50,true,,,,,,Flemish Brabant
10115010,10115010,house,house,399000,forsale,1800,xl,usainstalled,1837,good,gas,385,3,280,true,true,224,true,,,,3,,Flemish Brabant
10027384,10027384,house,villa,419000,forsale,1980,xl,semiequipped,1958,good,gas,442,3,560,true,true,461,true,true,,1,3,,Flemish Brabant
10135978,10135978,house,house,419500,forsale,1730,xl,usahyperequipped,1994,asnew,gas,226,3,216,,,216,true,,,,1,,Flemish Brabant
9855121,9855121,housegroup,housegroup,379000-414150,forsale,1790,xl,,,,,25,,,,,,,,,,,1,Flemish Brabant
9862733,9862733,housegroup,housegroup,365000-365000,forsale,3271,xl,,,,,,,,,,,,,,,,1,Flemish Brabant
9362082,9362082,house,house,239000,forsale,3300,xl,installed,1932,justrenovated,gas,232,3,195,,true,130,true,,,,,,Flemish Brabant
10096518,10096518,house,house,335000,forsale,1800,xl,semiequipped,1958,torenovate,fueloil,427,3,192,true,true,100,,,,,,,Flemish Brabant
9969865,9969865,housegroup,housegroup,283900-529000,forsale,1540,xl,,,,,,,,,,,,,,,,1,Flemish Brabant
10010856,10010856,house,house,450000,forsale,1500,xl,hyperequipped,2018,asnew,gas,66,5,230,true,,70,true,,,1,2,,Flemish Brabant
10056454,10056454,house,house,475000,forsale,1970,xl,semiequipped,1974,good,gas,383,3,601,true,true,550,true,,,1,3,,Flemish Brabant
10127969,10127969,housegroup,housegroup,524000-539000,forsale,1820,xl,,,,,,,,,,,,,,,2,1,Flemish Brabant
10132433,10132433,housegroup,housegroup,499000-585000,forsale,1930,xl,,,,,150,,,,,,,,,32,32,1,Flemish Brabant
9983636,9983636,house,mixedusebuilding,569000,forsale,3150,xl,hyperequipped,1920,tobedoneup,gas,370,5,280,true,true,80,true,,,,2,,Flemish Brabant
9406677,9406677,housegroup,housegroup,595000-645000,forsale,1780,xl,,,,,,,,,,,,,,,,1,Flemish Brabant
