,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10103679,10103679,house,house,350000,forsale,6001,xl,,,good,,188,6,0,,true,160,true,,,2,,,Hainaut
9979230,9979230,house,house,295000,forsale,6020,xl,installed,2022,asnew,gas,114,3,299,true,,100,true,,,1,2,,Hainaut
10069658,10069658,house,villa,365000,forsale,6230,xl,semiequipped,1975,torenovate,gas,388,4,954,,true,,,,,1,5,,Hainaut
9593621,9593621,house,house,149999,forsale,6030,xl,notinstalled,1905,torenovate,gas,566,3,60,,,,,,,,,,Hainaut
10159343,10159343,house,otherproperty,645000,forsale,7910,xl,installed,1979,good,fueloil,282,4,2901,,,,true,,,2,,,Hainaut
8018096,8018096,housegroup,housegroup,216803.98-227363.98,forsale,7900,xl,,,,,,,,,,,,,,,,1,Hainaut
10153840,10153840,housegroup,housegroup,373000-417000,forsale,7912,xl,,,,,,,,,,,,,,,,1,Hainaut
9823526,9823526,house,bungalow,89000,forsale,6044,xl,semiequipped,1957,good,carbon,753,1,250,,,,true,,,,,,Hainaut
9745389,9745389,house,house,270000,forsale,6040,xl,hyperequipped,1975,asnew,fueloil,289,3,1000,,,50,true,true,,2,7,,Hainaut
10088318,10088318,house,house,295000,forsale,7000,xl,installed,1960,good,gas,416,5,3600,true,true,2940,true,,,1,5,,Hainaut
10159340,10159340,house,villa,645000,forsale,7910,xl,installed,1979,good,fueloil,282,4,2901,,,,true,,,2,,,Hainaut
10121703,10121703,housegroup,housegroup,359000-377000,forsale,7060,xl,,,,,90,,,,,,,,,,,1,Hainaut
10162086,10162086,housegroup,housegroup,279000-305000,forsale,7100,xl,,,,,,,,,,,,,,,,1,Hainaut
10066108,10066108,house,house,395000,forsale,7800,xl,installed,1875,asnew,fueloil,250,5,1500,,true,,true,true,,2,6,,Hainaut
10091994,10091994,house,villa,435000,forsale,7880,xl,installed,1974,good,fueloil,355,3,1160,,true,,true,,,1,,,Hainaut
