,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10164869,10164869,house,house,299000,forsale,4960,xl,semiequipped,1957,tobedoneup,fueloil,713,8,2319,true,true,1873,true,,,1,6,,Liege
10143366,10143366,house,exceptionalproperty,849000,forsale,4607,xl,hyperequipped,1899,good,fueloil,245,6,16959,true,true,15324,true,true,,1,1,,Liege
10151895,10151895,house,house,235000,forsale,4257,xl,semiequipped,1900,tobedoneup,fueloil,510,3,945,true,true,400,true,,,,,,Liege
10165375,10165375,house,house,289000,forsale,4500,xl,semiequipped,1958,good,fueloil,312,3,204,,true,100,true,true,,1,,,Liege
10145147,10145147,house,countrycottage,325000,forsale,4052,xl,notinstalled,1900,torenovate,fueloil,372,4,555,true,true,380,true,true,,1,,,Liege
9955479,9955479,house,house,239000,forsale,4020,xl,semiequipped,1997,tobedoneup,electric,712,3,503,,,250,true,,,1,2,,Liege
10151664,10151664,house,house,195000,forsale,4870,xl,installed,2014,torenovate,gas,199,4,401,true,,400,,,,1,1,,Liege
10160090,10160090,house,exceptionalproperty,545000,forsale,4671,xl,notinstalled,1900,torenovate,fueloil,532,8,2200,true,true,,true,true,,1,5,,Liege
10162190,10162190,house,house,190000,forsale,4500,xl,semiequipped,1890,tobedoneup,gas,454,5,1768,,true,,true,,,1,,,Liege
10147032,10147032,house,house,159000,forsale,4430,xl,semiequipped,1899,good,fueloil,448,2,335,true,true,171,true,true,,,,,Liege
10154574,10154574,house,mixedusebuilding,219000,forsale,4430,xl,installed,1918,tobedoneup,fueloil,356,3,249,,true,100,,,,,,,Liege
10166574,10166574,house,house,485000,forsale,4020,xl,installed,1930,good,gas,253,4,110,,true,,true,true,,,,,Liege
10143254,10143254,house,house,425000,forsale,4950,xl,semiequipped,1975,good,fueloil,482,3,991,true,true,,true,,,1,2,,Liege
10154573,10154573,house,house,219000,forsale,4430,xl,installed,1918,tobedoneup,fueloil,356,3,249,,true,100,,,,,,,Liege
10161097,10161097,house,house,275000,forsale,4500,xl,notinstalled,1958,good,gas,265,3,1045,true,true,910,true,,,1,2,,Liege
9985953,9985953,house,house,99000,forsale,4100,xl,notinstalled,1918,good,gas,315,2,25,true,,,,true,,,,,Liege
10140833,10140833,house,house,300000,forsale,4350,xl,installed,1996,good,fueloil,377,2,714,,,540,true,,,1,3,,Liege
9846450,9846450,house,house,99000,forsale,4051,xl,notinstalled,1918,tobedoneup,fueloil,705,1,236,,true,160,true,true,,2,1,,Liege
10130207,10130207,house,house,120000,forsale,4420,xl,installed,1900,good,pellet,1181,2,43,,,,true,,,,,,Liege
10115903,10115903,house,house,120000,forsale,4480,xl,notinstalled,1899,torestore,carbon,569,3,156,true,true,35,,,,1,,,Liege
10078035,10078035,house,mixedusebuilding,129000,forsale,4500,xl,notinstalled,1850,good,gas,343,2,59,,true,,,,,,,,Liege
10070002,10070002,house,house,139500,forsale,4520,xl,notinstalled,1918,tobedoneup,gas,781,4,345,,true,275,true,,,,,,Liege
10078050,10078050,house,house,165000,forsale,4101,xl,semiequipped,1938,tobedoneup,gas,487,2,235,,true,120,true,,,,,,Liege
9601088,9601088,house,farmhouse,149000,forsale,4560,xl,notinstalled,1880,torenovate,fueloil,471,5,581,true,true,,true,,,,2,,Liege
10075923,10075923,house,house,149000,forsale,4420,xl,semiequipped,1874,good,gas,433,2,107,true,true,37,,,,,,,Liege
10019077,10019077,house,house,149000,forsale,4800,xl,notinstalled,1850,torenovate,gas,433,3,476,true,true,224,true,true,,,1,,Liege
