,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10113091,10113091,house,villa,720000,forsale,3570,xl,installed,2003,asnew,gas,132,5,1456,,true,906,true,,true,1,1,,Limburg
10015159,10015159,house,house,199000,forsale,3770,xl,notinstalled,1953,justrenovated,fueloil,423,2,277,true,true,190,true,true,,,1,,Limburg
10111336,10111336,housegroup,housegroup,315400-335400,forsale,3910,xl,,,,,,,,,,,,,,,,1,Limburg
10074851,10074851,house,villa,695000,forsale,3910,xl,semiequipped,1996,good,fueloil,220,4,7173,,,,true,,,2,10,,Limburg
10141440,10141440,house,house,225000,forsale,3840,xl,installed,1957,torenovate,fueloil,867,3,436,,true,,,,,1,,,Limburg
10129073,10129073,house,house,275000,forsale,3890,xl,installed,1979,good,gas,507,2,1128,,true,,true,,,1,3,,Limburg
10157549,10157549,house,villa,1049000,forsale,3900,xl,installed,1989,asnew,fueloil,273,4,11699,,true,,true,,,2,,,Limburg
10156827,10156827,house,house,539000,forsale,3920,xl,semiequipped,2008,asnew,gas,99,5,410,,true,269,,,,1,,,Limburg
10110663,10110663,house,house,315000,forsale,3500,xl,semiequipped,1964,tobedoneup,gas,227,3,185,,,,true,,,2,1,,Limburg
10156515,10156515,house,house,529000,forsale,3941,xl,installed,1988,good,fueloil,277,4,1866,,,,true,true,,3,2,,Limburg
10159386,10159386,housegroup,housegroup,419000-419000,forsale,3945,xl,,,,,,,,,,,,,,,,1,Limburg
10139190,10139190,house,house,350000,forsale,3870,xl,semiequipped,1936,torenovate,gas,651,6,1507,,true,,true,true,,1,,,Limburg
