,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10149128,10149128,house,house,159000,forsale,5000,xl,installed,1900,good,gas,252,3,40,true,true,,,true,,,,,Namur
10092062,10092062,house,house,250000,forsale,5030,xl,notinstalled,1874,torenovate,wood,544,3,940,,,760,,,,,3,,Namur
9869852,9869852,house,house,245000,forsale,5330,xl,semiequipped,1975,good,electric,531,3,1373,true,,12,true,,,1,3,,Namur
10120244,10120244,housegroup,housegroup,289000-289000,forsale,5570,xl,,,,,,,,,,,,,,,,1,Namur
10155846,10155846,house,apartmentblock,225000,forsale,5070,xl,installed,,justrenovated,pellet,1010,2,127,,,,true,true,,1,,,Namur
10031926,10031926,house,house,274500,forsale,5377,xl,installed,2002,good,fueloil,283,3,1277,,,,true,,,,3,,Namur
10127113,10127113,house,house,175000,forsale,5300,xl,semiequipped,1965,tobedoneup,fueloil,396,3,1067,,true,,true,,,1,,,Namur
10143250,10143250,house,house,50000,forsale,5360,xl,installed,,good,fueloil,437,2,3716,true,true,,true,,,1,1,,Namur
10152351,10152351,house,house,300000,forsale,5640,xl,,,tobedoneup,fueloil,382,5,784,,true,,,true,,1,,,Namur
10097797,10097797,house,house,235000,forsale,5190,xl,installed,1880,justrenovated,fueloil,407,4,80,,true,32,true,true,,,1,,Namur
10152352,10152352,house,house,550000,forsale,5640,xl,semiequipped,1842,tobedoneup,fueloil,382,5,2310,,true,2310,,true,,2,,,Namur
10043594,10043594,house,house,499000,forsale,5500,xl,notinstalled,1874,torenovate,fueloil,,16,595,true,true,329,,true,,,,,Namur
10009894,10009894,house,exceptionalproperty,499000,forsale,5500,xl,notinstalled,1874,torenovate,fueloil,,16,595,true,true,329,,true,,,,,Namur
10122995,10122995,house,house,550000,forsale,5651,xl,semiequipped,,asnew,fueloil,268,6,1228,true,true,400,true,true,,1,8,,Namur
10163474,10163474,house,house,270000,forsale,5140,xl,semiequipped,,torenovate,pellet,447,4,1618,true,,,,,,,2,,Namur
10155845,10155845,house,house,225000,forsale,5070,xl,installed,,justrenovated,pellet,1010,2,127,,,,true,true,,1,,,Namur
10116359,10116359,house,countrycottage,380000,forsale,5560,xl,,1978,good,fueloil,269,3,1865,true,true,1500,true,,,2,6,,Namur
10149570,10149570,house,house,265000,forsale,5190,xl,semiequipped,,good,fueloil,583,3,388,,true,120,,,,1,,,Namur
10160304,10160304,house,house,149000,forsale,5580,xl,semiequipped,,torenovate,fueloil,344,3,528,,,,true,,,,,,Namur
10160303,10160303,house,house,130000,forsale,5580,xl,notinstalled,1938,torenovate,fueloil,742,3,0,,,,true,,,,,,Namur
10089832,10089832,house,house,240000,forsale,5060,xl,semiequipped,,good,fueloil,311,3,370,,true,,true,,,,,,Namur
10101965,10101965,house,house,290000,forsale,5555,xl,installed,1976,tobedoneup,fueloil,275,4,1080,,true,,,,,1,,,Namur
10092474,10092474,house,house,249000,forsale,5300,xl,installed,1976,good,fueloil,579,3,1236,,true,1000,true,,,1,4,,Namur
10092477,10092477,house,house,334000,forsale,5300,xl,installed,1976,good,fueloil,579,3,2157,,true,1920,true,,,1,4,,Namur
9932008,9932008,house,house,330000,forsale,5555,xl,semiequipped,1979,good,fueloil,331,4,1427,,true,,,true,,1,,,Namur
10123623,10123623,house,apartmentblock,574000,forsale,5000,xl,installed,1950,tobedoneup,gas,301,9,20,,true,,true,,,,,,Namur
10002281,10002281,house,countrycottage,550000,forsale,5100,xl,installed,,tobedoneup,fueloil,365,5,16504,true,,900,true,true,,,,,Namur
10133847,10133847,house,house,359000,forsale,5100,xl,usainstalled,1951,,gas,368,4,1597,,true,1200,true,true,,7,2,,Namur
10120532,10120532,house,house,350000,forsale,5140,xl,semiequipped,1908,tobedoneup,fueloil,381,4,2178,,,,true,,,,,,Namur
9931331,9931331,house,house,235000,forsale,5060,xl,semiequipped,1960,good,gas,470,3,795,true,true,650,true,,,2,2,,Namur
10144502,10144502,house,house,990000,forsale,5377,xl,hyperequipped,1950,good,fueloil,,2,14515,,,,true,,,1,95,,Namur
10140035,10140035,house,house,139000,forsale,5550,xl,,,torenovate,fueloil,572,6,700,,true,700,true,,,,2,,Namur
9876103,9876103,house,house,229000,forsale,5580,xl,,1963,good,fueloil,85211,4,750,,true,,,,,1,1,,Namur
10103788,10103788,house,house,150000,forsale,5377,xl,,,torenovate,fueloil,811,3,607,true,,,true,true,,1,2,,Namur
10043560,10043560,house,mansion,1695000,forsale,5537,xl,usahyperequipped,1980,good,fueloil,198,8,30000,true,,29500,true,true,,4,20,,Namur
10123639,10123639,house,house,99500,forsale,5540,xl,semiequipped,1972,good,gas,802,2,378,,,,,,,4,,,Namur
10088776,10088776,house,house,159500,forsale,5380,xl,semiequipped,,torenovate,fueloil,526,4,553,,true,,true,,,,,,Namur
10123582,10123582,house,chalet,99500,forsale,5540,xl,semiequipped,1972,good,gas,802,2,378,,,,,,,4,,,Namur
10135559,10135559,house,house,219000,forsale,5300,xl,installed,,good,gas,209,2,586,,,,true,,,,,,Namur
9971544,9971544,house,house,199000,forsale,5580,xl,installed,1875,tobedoneup,fueloil,423,4,300,,,,,true,,,,,Namur
10067654,10067654,house,house,275000,forsale,5500,xl,semiequipped,1803,torenovate,fueloil,411,4,960,,true,50,true,true,,4,3,,Namur
10002781,10002781,house,countrycottage,339000,forsale,5300,xl,semiequipped,,good,fueloil,349,3,1471,,true,770,true,,,1,,,Namur
10063681,10063681,house,house,385000,forsale,5140,xl,installed,1969,torestore,fueloil,222,4,1122,,true,,true,true,,1,3,,Namur
10092569,10092569,house,house,200000,forsale,5060,xl,notinstalled,,torenovate,fueloil,518,5,585,true,true,365,true,,,1,,,Namur
10135474,10135474,house,countrycottage,525000,forsale,5310,xl,hyperequipped,1753,justrenovated,fueloil,444,4,1340,,true,,true,,,2,6,,Namur
10091689,10091689,house,villa,465000,forsale,5101,xl,installed,1982,good,fueloil,132,5,1264,true,,1100,true,,,2,6,,Namur
10092480,10092480,house,house,495000,forsale,5310,xl,hyperequipped,2000,,fueloil,130,4,1070,,true,,true,,,2,4,,Namur
10097179,10097179,house,house,380000,forsale,5140,xl,,2022,,gas,111,3,1158,,,,true,,,,3,,Namur
10144522,10144522,house,villa,270000,forsale,5140,xl,semiequipped,,torenovate,fueloil,671,3,1014,,true,,,,,1,,,Namur
10161265,10161265,house,villa,360000,forsale,5030,xl,semiequipped,,torenovate,fueloil,439,5,1400,true,true,1400,,,,1,,,Namur
9930044,9930044,house,villa,1250000,forsale,5100,xl,hyperequipped,1996,asnew,fueloil,113,7,2013,true,true,1800,true,,true,2,5,,Namur
10162034,10162034,house,house,510000,forsale,5651,xl,installed,2008,,fueloil,209,3,3700,,,,,,,,,,Namur
10121698,10121698,house,house,399000,forsale,5030,xl,,2012,good,gas,238,4,567,,,475,true,,,2,3,,Namur
10062930,10062930,house,chalet,99500,forsale,5540,xl,semiequipped,1982,good,gas,802,2,378,,,280,,,,1,3,,Namur
10126332,10126332,house,house,134999,forsale,5070,xl,semiequipped,1951,torenovate,fueloil,337,4,197,true,,,,,,,,,Namur
10118984,10118984,house,house,160000,forsale,5140,xl,semiequipped,,good,fueloil,534,4,550,,true,,,,,1,,,Namur
10105622,10105622,house,house,170000,forsale,5537,xl,notinstalled,1960,torenovate,fueloil,675,2,1092,true,true,900,true,,,2,8,,Namur
10050278,10050278,house,house,195000,forsale,5580,xl,notinstalled,1936,torenovate,fueloil,629,5,1310,,true,,true,,,1,3,,Namur
10133733,10133733,house,apartmentblock,275000,forsale,5590,xl,hyperequipped,,,gas,461,4,980,,true,980,true,,,2,2,,Namur
10104068,10104068,house,apartmentblock,325000,forsale,5000,xl,semiequipped,1950,tobedoneup,gas,203,8,137,true,true,,,,,,,,Namur
10131091,10131091,house,house,290000,forsale,5150,xl,semiequipped,,,wood,493,4,990,,,,true,true,,4,4,,Namur
10133732,10133732,house,house,275000,forsale,5590,xl,hyperequipped,,,gas,461,4,980,,true,980,true,,,2,2,,Namur
10106008,10106008,house,house,269000,forsale,5580,xl,installed,,good,fueloil,183,5,243,,,,true,true,,,,,Namur
10118938,10118938,house,house,280000,forsale,5377,xl,,2006,,wood,847,3,1238,,true,,true,,,,,,Namur
9985472,9985472,house,house,350000,forsale,5332,xl,installed,1900,good,fueloil,272,3,1495,true,,1200,true,,,,6,,Namur
10079785,10079785,house,house,475000,forsale,5140,xl,semiequipped,,torenovate,fueloil,671,3,6484,,true,,,,,2,6,,Namur
9859112,9859112,house,apartmentblock,390000,forsale,5030,xl,usainstalled,1937,good,gas,274,4,611,,true,50,,,,2,1,,Namur
10108056,10108056,house,house,385000,forsale,5377,xl,,1998,,wood,440,3,3155,,,,true,,,1,,,Namur
10009403,10009403,house,apartmentblock,800000,forsale,5000,xl,notinstalled,1930,tobedoneup,gas,303,9,170,true,true,,true,,,,,,Namur
9990873,9990873,house,house,649000,forsale,5190,xl,usahyperequipped,1850,asnew,fueloil,206,3,2600,true,true,2000,true,,,2,1,,Namur
10112021,10112021,house,house,530000,forsale,5100,xl,usainstalled,2000,asnew,fueloil,124,5,1147,,true,900,true,,,1,2,,Namur
10068675,10068675,house,house,649000,forsale,5030,xl,usahyperequipped,1850,asnew,fueloil,206,3,2600,true,true,2000,true,,,2,1,,Namur
9953218,9953218,house,apartmentblock,960000,forsale,5060,xl,semiequipped,1950,good,gas,436,17,898,,,,true,,,,,,Namur
10101220,10101220,house,house,820000,forsale,5100,xl,usahyperequipped,1940,asnew,fueloil,390,5,4210,true,true,3900,true,,true,1,1,,Namur
10147430,10147430,house,house,435000,forsale,5150,xl,semiequipped,,good,fueloil,325,3,999,,,,true,,,1,2,,Namur
10106434,10106434,house,house,170000,forsale,5190,xl,semiequipped,,torenovate,fueloil,491,1,230,,true,78,true,,,3,1,,Namur
10082223,10082223,house,house,200000,forsale,5537,xl,semiequipped,1900,torestore,fueloil,635,4,535,,true,535,true,,,4,1,,Namur
10162500,10162500,house,countrycottage,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
10162501,10162501,house,exceptionalproperty,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
10162497,10162497,house,house,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
10162499,10162499,house,apartmentblock,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
9863317,9863317,house,house,215000,forsale,5620,xl,notinstalled,,torenovate,fueloil,342,4,2821,true,true,,,,,1,,,Namur
9509038,9509038,house,house,195000,forsale,5002,xl,semiequipped,,tobedoneup,fueloil,465,3,598,,true,,true,,,1,,,Namur
10118983,10118983,house,house,195000,forsale,5140,xl,semiequipped,,good,fueloil,428,3,2214,,true,,,,,1,,,Namur
10139361,10139361,house,house,175000,forsale,5070,xl,semiequipped,,torenovate,fueloil,557,3,0,,,,true,,,,2,,Namur
9971944,9971944,house,house,195000,forsale,5022,xl,,1961,torenovate,fueloil,675,3,600,,true,,,,,1,2,,Namur
10161996,10161996,housegroup,housegroup,315000-329000,forsale,5004,xl,,,,,,,,,,,,,,,,1,Namur
10112266,10112266,house,house,315000,forsale,5060,xl,usainstalled,2015,asnew,pellet,,3,355,true,,200,true,,,,2,,Namur
9959081,9959081,house,house,370000,forsale,5060,xl,installed,,justrenovated,fueloil,289,4,521,,true,,true,,,,,,Namur
10026568,10026568,house,house,350000,forsale,5140,xl,semiequipped,,good,fueloil,458,2,1600,true,,1450,true,true,,1,4,,Namur
10147728,10147728,house,exceptionalproperty,700000,forsale,5030,xl,installed,,good,fueloil,424,8,5428,true,true,5000,true,,true,2,10,,Namur
10140037,10140037,house,chalet,79900,forsale,5540,xl,installed,,,gas,624,2,214,,,,,,,,1,,Namur
10143813,10143813,house,house,349000,forsale,5360,xl,,1995,tobedoneup,pellet,581,3,0,,true,,,,,2,4,,Namur
10138857,10138857,house,house,219000,forsale,5540,xl,semiequipped,,torenovate,fueloil,107827,6,1417,true,true,1417,true,,,1,,,Namur
10128942,10128942,house,house,80000,forsale,5542,xl,installed,,good,electric,844,1,41,,,,true,,,,,,Namur
10098086,10098086,house,house,130000,forsale,5542,xl,hyperequipped,,asnew,electric,722,3,53,,,,true,,,,,,Namur
10109457,10109457,house,house,325000,forsale,5081,xl,usasemiequipped,1998,tobedoneup,fueloil,216,2,600,,,,true,true,,,,,Namur
10106477,10106477,house,house,275000,forsale,5030,xl,semiequipped,,good,gas,652,2,720,,true,,true,,,2,1,,Namur
10122049,10122049,house,house,395000,forsale,5060,xl,installed,,good,fueloil,403,3,2368,,true,,true,,,4,4,,Namur
10118683,10118683,house,house,245000,forsale,5590,xl,semiequipped,,tobedoneup,fueloil,417,3,589,,,589,true,,,1,1,,Namur
10133673,10133673,house,house,275000,forsale,5590,xl,installed,1972,good,electric,747,3,1454,true,true,1339,true,,,1,3,,Namur
10118551,10118551,house,house,415000,forsale,5336,xl,hyperequipped,,asnew,fueloil,198,5,1285,true,true,1285,true,,,,1,,Namur
10121407,10121407,house,house,415000,forsale,5580,xl,usainstalled,,good,fueloil,273,4,1504,true,,,true,,,2,2,,Namur
9631210,9631210,house,otherproperty,495000,forsale,5370,xl,,1899,good,fueloil,297,4,1520,,,,,true,,,,,Namur
9811687,9811687,house,house,420000,forsale,5300,xl,notinstalled,1903,torenovate,fueloil,508,7,960,true,true,600,true,true,,1,3,,Namur
10031752,10031752,house,house,520000,forsale,5630,xl,hyperequipped,2010,,gas,129,3,1091,,,,true,,true,3,4,,Namur
10094395,10094395,house,mixedusebuilding,495000,forsale,5002,xl,semiequipped,1900,good,gas,202,6,606,,true,86,true,true,,,,,Namur
10154000,10154000,house,apartmentblock,900000,forsale,5000,xl,installed,,,gas,139,7,195,,true,,true,,,,,,Namur
