,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10142058,10142058,house,villa,550000,forsale,1325,xl,installed,1976,tobedoneup,fueloil,225,4,1886,,,1737,true,,,1,6,,Waloon Brabant
10166833,10166833,house,house,380000,forsale,1420,xl,hyperequipped,1953,tobedoneup,gas,303,3,510,true,true,430,true,,,1,1,,Waloon Brabant
10159324,10159324,house,house,595000,forsale,1420,xl,hyperequipped,1880,asnew,gas,235,3,564,,,,true,true,true,,1,,Waloon Brabant
9976911,9976911,house,house,260000,forsale,1421,xl,semiequipped,1930,good,fueloil,420,3,695,,true,550,true,true,,1,1,,Waloon Brabant
10161860,10161860,house,house,935000,forsale,1470,xl,usahyperequipped,1875,asnew,fueloil,321,4,13638,true,true,13473,true,true,,,8,,Waloon Brabant
9774377,9774377,house,house,345000,forsale,1390,xl,semiequipped,1974,tobedoneup,fueloil,388,3,871,true,true,700,true,,,1,1,,Waloon Brabant
9817246,9817246,house,house,300000,forsale,1471,xl,usahyperequipped,1918,good,gas,341,2,613,,true,400,true,true,,1,7,,Waloon Brabant
10155861,10155861,house,apartmentblock,230000,forsale,1400,xl,notinstalled,1955,torenovate,gas,404,4,165,,true,,true,,,,,,Waloon Brabant
10161247,10161247,house,villa,475000,forsale,1495,xl,installed,1974,good,fueloil,420,3,2907,true,,2740,true,,,1,2,,Waloon Brabant
10087294,10087294,house,house,399000,forsale,1300,xl,installed,1940,torenovate,fueloil,584,4,3882,,true,,true,,,1,4,,Waloon Brabant
10094760,10094760,house,villa,475000,forsale,1390,xl,semiequipped,1977,torenovate,fueloil,544,5,1883,,true,1748,true,true,,2,6,,Waloon Brabant
10126284,10126284,house,exceptionalproperty,2950000,forsale,1380,xl,hyperequipped,2003,asnew,fueloil,337,5,11000,,true,,true,true,true,1,5,,Waloon Brabant
10158591,10158591,housegroup,housegroup,755000-755000,forsale,1410,xl,,,,,86,,,,,,,,,1,,1,Waloon Brabant
9359469,9359469,housegroup,housegroup,349000-449000,forsale,1360,xl,,,,,,,,,,,,,,,,1,Waloon Brabant
10070218,10070218,house,villa,415000,forsale,1420,xl,notinstalled,1875,tobedoneup,fueloil,472,3,1000,,true,899,true,,,,5,,Waloon Brabant
10036288,10036288,house,villa,425000,forsale,1400,xl,hyperequipped,1986,good,fueloil,192,3,630,true,,517,true,,,2,3,,Waloon Brabant
10086164,10086164,house,villa,445000,forsale,1400,xl,installed,1992,good,fueloil,272,3,1163,,,1030,true,true,,2,6,,Waloon Brabant
10127823,10127823,house,villa,499000,forsale,1330,xl,installed,1935,good,gas,282,6,412,true,true,360,true,,,,2,,Waloon Brabant
9926830,9926830,house,villa,535000,forsale,1470,xl,usahyperequipped,1979,asnew,fueloil,337,2,1900,,,1300,true,true,,2,4,,Waloon Brabant
10118060,10118060,housegroup,housegroup,755000-755000,forsale,1410,xl,,,,,86,,,,,,,,,1,,1,Waloon Brabant
