,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10148020,10148020,house,villa,765000,forsale,8790,xl,hyperequipped,2000,good,gas,231,4,763,,true,,,,true,,2,,West Flanders
10166253,10166253,house,house,635000,forsale,8300,xl,installed,,asnew,gas,313,2,507,,,218,,,,1,4,,West Flanders
10165753,10165753,house,villa,465000,forsale,8540,xl,installed,1976,tobedoneup,gas,433,4,2068,,true,,true,,,1,,,West Flanders
10083477,10083477,house,house,975000,forsale,8300,xl,hyperequipped,2004,good,gas,147,5,164,,,,true,,,1,1,,West Flanders
10093752,10093752,house,villa,569000,forsale,8020,xl,installed,1997,good,fueloil,288,4,1320,,,730,,,,2,3,,West Flanders
9948447,9948447,house,house,235000,forsale,8531,m,installed,1930,torenovate,fueloil,744,3,563,,true,,,,,,,,West Flanders
9441206,9441206,housegroup,housegroup,250000-250000,forsale,8650,xl,,,,,,,,,,,,,,,,1,West Flanders
10165751,10165751,house,villa,385000,forsale,8792,xl,installed,1964,tobedoneup,fueloil,407,4,1032,,true,,,,,1,,,West Flanders
10070683,10070683,housegroup,housegroup,321000-352000,forsale,8660,xl,,,,,,,,,,,,,,,,1,West Flanders
9899874,9899874,housegroup,housegroup,340000-380000,forsale,8820,xl,,,,,30,,,,,,,,,,,1,West Flanders
9778538,9778538,housegroup,housegroup,329117.83-331117.83,forsale,8750,xl,,,,,,,,,,,,,,,,1,West Flanders
10165749,10165749,house,house,215000,forsale,8790,xl,semiequipped,1961,torenovate,fueloil,886,3,408,,true,,true,,,1,,,West Flanders
10165752,10165752,house,house,285000,forsale,8500,xl,installed,1954,good,gas,450,3,422,,true,,true,,,1,3,,West Flanders
10144440,10144440,house,manorhouse,695000,forsale,8581,xl,installed,1957,justrenovated,gas,229,5,1996,,true,,,,,,20,,West Flanders
9466117,9466117,housegroup,housegroup,329400-333400,forsale,8791,xl,,,,,,,,,,,,,,,,1,West Flanders
10067960,10067960,housegroup,housegroup,795000-975000,forsale,8300,xl,,,,,,,,,,,,,,1,2,1,West Flanders
10142995,10142995,house,house,1095000,forsale,8300,xl,usahyperequipped,1974,asnew,gas,118,3,237,,,237,true,,,1,2,,West Flanders
10161719,10161719,house,house,375000,forsale,8520,xl,installed,,good,gas,208,3,439,,true,,true,,,,3,,West Flanders
10144439,10144439,house,house,310000,forsale,8520,xl,installed,1959,good,gas,420,3,518,,,,true,,,1,2,,West Flanders
10108593,10108593,house,house,249000,forsale,8793,xl,semiequipped,1978,tobedoneup,electric,422,3,214,,true,,true,,,1,,,West Flanders
9997783,9997783,house,house,365000,forsale,8620,xl,installed,1979,tobedoneup,gas,305,4,366,,,298,,,,,2,,West Flanders
9886073,9886073,house,mansion,585000,forsale,8000,xl,installed,1934,justrenovated,electric,81,5,115,,,,,,,,,,West Flanders
10042525,10042525,house,mansion,489000,forsale,8820,xl,hyperequipped,1881,good,gas,389,3,429,,,90,,,,,,,West Flanders
10120487,10120487,house,house,349000,forsale,8551,xl,installed,2011,good,gas,98,3,302,,,,true,,,,2,,West Flanders
10121883,10121883,house,manorhouse,695000,forsale,8580,xl,installed,1957,justrenovated,gas,229,5,1996,,true,,,,,,20,,West Flanders
9723409,9723409,house,villa,2145000,forsale,8300,xl,hyperequipped,2007,asnew,gas,221,5,683,true,,,true,true,,2,4,,West Flanders
10158724,10158724,house,villa,486000,forsale,8510,xl,installed,1995,good,gas,217,3,1144,,,978,true,,,1,3,,West Flanders
10156442,10156442,house,villa,399500,forsale,8792,xl,installed,2022,good,,12,3,466,,,,true,,,,,,West Flanders
10159435,10159435,house,villa,470000,forsale,8510,xl,installed,1993,good,gas,198,4,1237,,,,true,,,2,2,,West Flanders
10156445,10156445,house,villa,369000,forsale,8540,xl,semiequipped,1975,good,electric,560,3,625,,true,,true,,,1,3,,West Flanders
10071305,10071305,house,exceptionalproperty,879000,forsale,8000,xl,semiequipped,1923,torenovate,gas,427,10,221,,,57,,,,1,,,West Flanders
10071302,10071302,house,mansion,599000,forsale,8000,xl,semiequipped,1923,good,gas,427,6,157,,,57,,,,,,,West Flanders
10096267,10096267,house,countrycottage,1195000,forsale,8340,xl,usahyperequipped,1986,asnew,fueloil,92,6,5420,,,,,,,1,15,,West Flanders
10144445,10144445,house,house,225000,forsale,8710,xl,semiequipped,1952,tobedoneup,fueloil,468,3,321,,true,,,,,1,,,West Flanders
10150937,10150937,house,mixedusebuilding,215000,forsale,8790,xl,,1997,good,gas,181,2,105,,,,true,,,1,,,West Flanders
9819472,9819472,house,villa,1995000,forsale,8300,xl,hyperequipped,2008,asnew,gas,129,6,627,,,,true,true,,,4,,West Flanders
10137631,10137631,house,villa,1450000,forsale,8510,xl,installed,1966,good,gas,340,4,3781,,true,,,,,2,2,,West Flanders
10127413,10127413,house,mixedusebuilding,1295000,forsale,8587,xl,installed,2008,asnew,gas,295,5,3700,,,,,,,,,,West Flanders
9970494,9970494,house,mixedusebuilding,320000,forsale,8930,xl,semiequipped,1946,tobedoneup,,330,4,617,,,,true,true,,1,,,West Flanders
10138247,10138247,house,villa,795000,forsale,8792,xl,hyperequipped,1957,good,fueloil,437,3,4047,,true,,true,true,true,3,10,,West Flanders
9897583,9897583,house,house,329000,forsale,8510,xl,installed,2018,asnew,gas,126,3,198,,,,true,,,1,,,West Flanders
10108594,10108594,house,villa,325000,forsale,8530,xl,installed,1984,tobedoneup,electric,638,4,611,,,,,,,1,2,,West Flanders
10161036,10161036,house,villa,1350000,forsale,8300,xl,usahyperequipped,1981,justrenovated,,173,4,441,,,441,true,,,1,3,,West Flanders
10138252,10138252,house,otherproperty,795000,forsale,8792,xl,hyperequipped,1957,good,fueloil,437,3,4047,,true,,true,true,true,3,10,,West Flanders
10134918,10134918,house,house,336000,forsale,8370,xl,installed,1972,torenovate,fueloil,428,3,262,,,,,,,1,1,,West Flanders
10115331,10115331,house,house,520000,forsale,8790,xl,installed,1971,justrenovated,gas,268,4,115,,,,,,,,,,West Flanders
10129916,10129916,house,villa,675000,forsale,8490,xl,installed,1971,good,fueloil,535,3,1500,,,,true,,,,4,,West Flanders
9983565,9983565,house,villa,850000,forsale,8500,xl,installed,1992,good,fueloil,221,5,1835,,true,,true,,,2,20,,West Flanders
