,Available as of,Available date,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace surface,Elevator,Accessible for disabled people,Intercom,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Price,Tenement building,Address,Website,External reference,Province,Armored door,Width of the lot on the street,TV cable,Double glazing,Total ground floor buildable,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Cadastral income,Bedroom 4 surface,Living room,Terrace,Planning permission obtained,Bedroom 5 surface,Secure access / alarm,Professional space surface,Conformity certification for fuel tanks,Subdivision permit,As built plan,How many fireplaces?,Garden orientation,Basement surface,Attic surface,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Visio phone,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Professional space,Isolated,Type of building,Terrace orientation,Air conditioning,Jacuzzi,Sauna,Internet,E-level (overall energy performance),Monthly charges,Property name,Agent's name,Current monthly revenue,Garden,Obligation to build,Number of annexes,Venue of the sale,Single session,Terms of visit,Starting price,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Extra information,EPC description,Age of annuitant
10160112,To be defined,January 1 2023 - 12:00 AM,Les Woluwes,1964,As new,5.5 m,2,1,1,Isolated,Link to the virtual visit,190m²square meters,26m²square meters,Yes,USA hyper equipped,12m²square meters,3,14m²square meters,13m²square meters,27m²square meters,2,1,3,16m²square meters,Yes,Yes,Yes,No,188m²square meters,Connected,Yes,47m²square meters,30m²square meters,No,No,Yes,No,227 kWh/m²kilowatt hour per square meters,E,20220524-0000613427-01-3,45 kg CO₂/m²,Not specified,Gas,"€ 735,000735000 €",No,"Avenue des Cerisiers, 212 1200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4970772,Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165546,To be defined,October 11 2022 - 12:00 AM,,1910,Good,3.75 m,2,,,"Living area (residential, urban or rural)",,153m²square meters,19m²square meters,Yes,Hyper equipped,8m²square meters,3,11m²square meters,12m²square meters,12m²square meters,1,1,2,,,Yes,Yes,No,80m²square meters,Connected,Yes,20m²square meters,40m²square meters,No,No,,No,180 kWh/m²kilowatt hour per square meters,D,20120808-0000107061-01-4,39 kg CO₂/m²,Not specified,,"€ 495,000495000 €",No,"Avenue des Cerisiers, 95 1200- Woluwe-St-Lambert",http://www.immoabita.be,4973248,Brussels,Yes,3.75 mmeters,Yes,Yes,153m²square meters,No,No,Non flood zone,"Living area (residential, urban or rural)",€ 602602 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164028,After signing the deed,November 1 2022 - 12:00 AM,Les Woluwes,1914,Good,6 m,2,,,Isolated,Link to the virtual visit,228m²square meters,15m²square meters,Yes,Not installed,15m²square meters,4,16m²square meters,15m²square meters,16m²square meters,1,1,2,7m²square meters,Yes,Yes,Yes,No,220m²square meters,Connected,Yes,150m²square meters,2m²square meters,,,,,345 kWh/m²kilowatt hour per square meters,F,Not specified,69 kg CO₂/m²,Not specified,Gas,"€ 749,000749000 €",No,"Avenue des Cerisiers, 212 1200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4964655,Brussels,,,,,,,,,,,23m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008023,To be defined,,,1930,As new,6.5 m,2,1,,,,,,,USA hyper equipped,,4,,,,3,,4,,Yes,Yes,,No,290m²square meters,,,140m²square meters,,No,No,Yes,No,565 kWh/m²kilowatt hour per square meters,G,202203170000608116018,113 kg CO₂/m²,Not specified,Gas,"€ 1,790,0001790000 €",No,Avenue Legrand 30 1050- Ixelles,http://www.james-realty.com,4836495,Brussels,,,,,658m²square meters,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164841,After signing the deed,October 31 2022 - 12:00 AM,Est de Bruxelles + VL,1971,Good,,2,1,1,Isolated,,155m²square meters,78m²square meters,,USA hyper equipped,,3,19m²square meters,14m²square meters,9m²square meters,1,,1,,,,,No,177m²square meters,,,,27m²square meters,,,,,526 kWh/m²kilowatt hour per square meters,G,Not specified,105 kg CO₂/m²,Not specified,Fuel oil,"€ 499,000499000 €",No,"Val des Seigneurs, 9a 1150- Woluwe-St-Pierre",http://www.sorimo.be,4972664,Brussels,,,,,,,,,,"€ 3,0223022 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163242,After signing the deed,October 31 2022 - 12:00 AM,1 - Bruxelles Sud,1907,To restore,6.5 m,2,,,Urban,,687m²square meters,36m²square meters,,USA semi equipped,20m²square meters,7,24m²square meters,12m²square meters,14m²square meters,6,3,6,,,,,No,339m²square meters,Connected,No,88m²square meters,24m²square meters,,,,,500 kWh/m²kilowatt hour per square meters,G,Not specified,400 kg CO₂/m²,Not specified,Gas,"€ 970,000970000 €",Yes,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4966525,Brussels,,,,,,,,Non flood zone,,,14m²square meters,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164033,After signing the deed,January 1 2023 - 12:00 AM,Bruxelles Est,1930,Good,5.5 m,2,,,Urban,Link to the virtual visit,323m²square meters,50m²square meters,Yes,USA hyper equipped,1m²square meter,8,22m²square meters,22m²square meters,15m²square meters,3,3,4,,,,Yes,No,100m²square meters,Connected,Yes,,27m²square meters,No,No,Yes,Yes,317 kWh/m²kilowatt hour per square meters,F,20220823-0000619172-01-5,63 kg CO₂/m²,Not specified,Gas,"€ 700,000700000 €",No,"Avenue des Cerisiers, 212 1200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4967977,Brussels,,,,,,,,,,,15m²square meters,,,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160097,After signing the deed,,1 - Bruxelles Est,1918,To be done up,,2,,,Urban,Link to the virtual visit,160m²square meters,,,USA installed,,3,18m²square meters,12m²square meters,40m²square meters,1,1,1,,,,,,104m²square meters,,No,,,,,,,273 kWh/m²kilowatt hour per square meters,E,Not specified,54 kg CO₂/m²,Not specified,Gas,"€ 650,000650000 €",No,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4970475,Brussels,,,,Yes,,,,,,"€ 1,2021202 €",,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161789,After signing the deed,October 1 2022 - 12:00 AM,Bruxelles (19 communes),1913,To renovate,6 m,2,,,Isolated,Link to the virtual visit,267m²square meters,41m²square meters,Yes,Not installed,10m²square meters,5,24m²square meters,17m²square meters,11m²square meters,1,1,2,,,Yes,Yes,No,176m²square meters,Connected,Yes,45m²square meters,2m²square meters,No,No,Yes,No,321 kWh/m²kilowatt hour per square meters,F,Not specified,82 kg CO₂/m²,Not specified,Fuel oil,"€ 720,000720000 €",No,"Avenue des Cerisiers, 212 1200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4971150,Brussels,,,,,,,,,,"€ 1,5221522 €",11m²square meters,,,,15m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160134,After signing the deed,February 13 2023 - 12:00 AM,Bruxelles (19 communes),1971,Good,,2,,,Urban,Link to the virtual visit,145m²square meters,33m²square meters,,Hyper equipped,7m²square meters,3,16m²square meters,15m²square meters,7m²square meters,1,1,3,,,,,,122m²square meters,,,64m²square meters,4m²square meters,No,Yes,,No,413 kWh/m²kilowatt hour per square meters,G,Not specified,83 kg CO₂/m²,Not specified,Gas,"€ 450,000450000 €",No,Av.de la Brise 46 1020- Bruxelles,http://www.urban-concept.be,4928810,Brussels,,,,Yes,,,,,,"€ 2,1882188 €",,,,,,,28m²square meters,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
