,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10164218,After signing the deed,December 1 2022 - 12:00 AM,1900,To restore,4,5,Isolated,197m²square meters,43m²square meters,USA installed,13m²square meters,2,15m²square meters,30m²square meters,1,1,1,14m²square meters,Yes,No,885m²square meters,Connected,Yes,770m²square meters,No,No,Yes,No,1081 kWh/m²kilowatt hour per square meters,F,20220915-0002675036-RES-1,4281 kg CO₂/m²,Not specified,No,Fuel oil,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 350,000350000 €",€ 294294 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4971275,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161665,To be defined,May 1 2023 - 12:00 AM,1956,As new,3,8,"Living area (residential, urban or rural)",182m²square meters,26m²square meters,Hyper equipped,13m²square meters,4,14m²square meters,11m²square meters,1,,2,,,No,1424m²square meters,Connected,Yes,952m²square meters,No,No,Yes,No,178 kWh/m²kilowatt hour per square meters,B,2438028,5149 kg CO₂/m²,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 359,000359000 €",€ 907907 €,No,Stationstraat 30 9600- Ronse,,4970817,East Falnders,6 m,1,12m²square meters,11m²square meters,Yes,Yes,11 mmeters,25m²square meters,Yes,170m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146903,After signing the deed,September 15 2022 - 12:00 AM,1941,Good,2,,Urban,119m²square meters,32m²square meters,USA installed,10m²square meters,4,14m²square meters,10m²square meters,1,1,1,,,No,49m²square meters,,Yes,,No,No,Yes,No,280 kWh/m²kilowatt hour per square meters,C,20220512-0002601697-RES-1,6684 kg CO₂/m²,Not specified,,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",€ 417417 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4964255,East Falnders,4.44 m,,14m²square meters,15m²square meters,,Yes,4.44 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161587,After signing the deed,,1938,Good,2,,,265m²square meters,,Installed,33m²square meters,5,19m²square meters,19m²square meters,1,,2,,,No,393m²square meters,,,170m²square meters,,,,,295 kWh/m²kilowatt hour per square meters,C,20220823-0002660466-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,,,Non flood zone,"Living area (residential, urban or rural)","€ 599,000599000 €",€ 899899 €,No,Parklaan 63 9300- Aalst,http://www.bricksimmo.be,18349 - Parklaan 91,East Falnders,,,17m²square meters,17m²square meters,Yes,,,80m²square meters,Yes,,Link to the virtual visit,8m²square meters,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166681,At delivery,January 15 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,Yes,,,Possible flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4972729,East Falnders,,,,,,,,,,,,,,,Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164692,After signing the deed,,1979,To renovate,4,,,350m²square meters,41m²square meters,Semi equipped,17m²square meters,4,37m²square meters,20m²square meters,2,,3,,,No,936m²square meters,,,,,,,,592 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,,,,,Non flood zone,,"€ 435,000435000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20808 - VK,East Falnders,,1,17m²square meters,15m²square meters,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161792,After signing the deed,February 1 2023 - 12:00 AM,2005,Good,4,2,Countryside,200m²square meters,26m²square meters,USA hyper equipped,11m²square meters,4,20m²square meters,13m²square meters,1,1,2,10m²square meters,Yes,No,620m²square meters,Connected,Yes,400m²square meters,No,No,Yes,No,229 kWh/m²kilowatt hour per square meters,C,20220817-0002643021-RES-1,9176 kg CO₂/m²,Not specified,,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 658,500658500 €",€ 922922 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4962769,East Falnders,,1,14m²square meters,8m²square meters,,Yes,,50m²square meters,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161801,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,No,No,,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4971080,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157751,To be defined,January 16 2023 - 12:00 AM,1962,Good,3,6,Urban,525m²square meters,,Installed,,4,15m²square meters,15m²square meters,2,1,4,35m²square meters,Yes,No,735m²square meters,Connected,Yes,,No,No,Yes,No,177 kWh/m²kilowatt hour per square meters,B,20220906-0002666490,6854 kg CO₂/m²,Not specified,,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 770,000770000 €",,No,Stationstraat 30 9600- Ronse,,4894847,East Falnders,18 m,1,15m²square meters,15m²square meters,,,23 mmeters,38m²square meters,,375m²square meters,,,,,Vlaamse Ardennen,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166680,After signing the deed,,1957,To be done up,2,1,Urban,137m²square meters,28m²square meters,Semi equipped,13m²square meters,3,14m²square meters,13m²square meters,1,,2,,,No,238m²square meters,Connected,Yes,115m²square meters,No,No,Yes,No,356 kWh/m²kilowatt hour per square meters,D,20210821-0002454324-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",€ 669669 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4967461,East Falnders,6.4 m,,7m²square meters,,Yes,Yes,6.4 mmeters,18m²square meters,,,,,,,Gent en omstreken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
