,Available as of,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,How many fireplaces?,Kitchen type,Bedrooms,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Width of the lot on the street,"Gas, water &amp; electricity",Garden surface,Garden orientation,Terrace,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Virtual visit,Living room surface,Dining room,Kitchen surface,Bedroom 1 surface,Bedroom 2 surface,Shower rooms,Office surface,Office,Attic,Connection to sewer network,Terrace surface,Elevator,Accessible for disabled people,TV cable,Total ground floor buildable,Cadastral income,Bedroom 3 surface,Bedroom 4 surface,Garden,Property name,Basement surface,Type of building,Obligation to build,Living room,Attic surface,E-level (overall energy performance),Dressing room,Terrace orientation,Heat pump,Agent's name,Bedroom 5 surface,Professional space surface,Conformity certification for fuel tanks,Thermic solar panels,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Number of annexes,Caretaker,Intercom,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Common water heater,Isolated,Neighbourhood or locality,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant
10113091,After signing the deed,2003,As new,4,1,1,"Living area (residential, urban or rural)",340m²square meters,1,Installed,5,1,3,Yes,No,1456m²square meters,23.3 mmeters,Yes,906m²square meters,South West,Yes,Yes,Yes,132 kWh/m²kilowatt hour per square meters,B,Certificaat-20220905-0002668097-RES-1.pdf,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 720,000720000 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,64174 - LOM-22-KSC-0,Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015159,After signing the deed,1953,Just renovated,3,,1,Isolated,110m²square meters,,Not installed,2,1,1,Yes,No,277m²square meters,6 mmeters,No,190m²square meters,,,,No,423 kWh/m²kilowatt hour per square meters,E,201606280018758261,65 kg CO₂/m²,Not specified,,Fuel oil,Yes,Yes,No,No,No,Non flood zone,Residential park,"Make an offer starting from€ 199,000Make an offer starting from199000 €",No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4804363,Limburg,August 31 2022 - 12:00 AM,6 m,Link to the virtual visit,13m²square meters,Yes,26m²square meters,23m²square meters,14m²square meters,1,14m²square meters,Yes,Yes,Connected,31m²square meters,No,No,Yes,106m²square meters,€ 322322 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111336,At delivery,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,Non flood zone,,,No,Kerkstraat 3 3920- Lommel,http://www.heylenvastgoed.be,66054 - NWB-22-KLU-1,Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074851,After signing the deed,1996,Good,4,2,10,,235m²square meters,1,Semi equipped,4,1,1,,No,7173m²square meters,,,,West,,,,220 kWh/m²kilowatt hour per square meters,C,20220821-0002659041-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,,,No,Non flood zone,"Living area (residential, urban or rural)","€ 695,000695000 €",No,Verbindingsweg 41 1880- Kapelle-op-den-Bos,http://www.clavisvastgoed.be,575 - PELDAM,Limburg,,,,53m²square meters,,23m²square meters,33m²square meters,17m²square meters,,,,,,18m²square meters,,,,,"€ 1,5201520 €",16m²square meters,14m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141440,After signing the deed,1957,To renovate,4,1,,,154m²square meters,,Installed,3,1,1,Yes,No,436m²square meters,17.5 mmeters,Yes,,,,,,867 kWh/m²kilowatt hour per square meters,F,20220802-0002649594-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 225,000225000 €",No,"Abeelplein, 15 3840- Borgloon",,4085 - 61.01.2022,Limburg,,8 m,,,,12m²square meters,,,,,,,,,,,,,€ 743743 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157549,To be defined,1989,As new,4,2,,,355m²square meters,1,Installed,4,2,3,Yes,No,11699m²square meters,100.92 mmeters,Yes,,,Yes,,,273 kWh/m²kilowatt hour per square meters,C,20220708-0002637821-RES-1,Not specified,Not specified,No,Fuel oil,,,No,No,No,Non flood zone,Farming area,"€ 1,049,0001049000 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,69339 - LOM-22-KSC-0,Limburg,,,,,,,,,,,,,,,,,,,"€ 1,0311031 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156827,To be defined,2008,As new,4,1,,,321m²square meters,,Semi equipped,5,1,2,Yes,No,410m²square meters,18 mmeters,Yes,269m²square meters,South,,,,99 kWh/m²kilowatt hour per square meters,A,20220706-0002636247-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 539,000539000 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,69128 - LOM-22-KSC-0,Limburg,,,,,,,,,1,,,,,,,,,,"€ 1,4611461 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110663,After signing the deed,1964,To be done up,2,2,1,,175m²square meters,,Semi equipped,3,1,2,,No,185m²square meters,,,,,Yes,,,227 kWh/m²kilowatt hour per square meters,C,20220915-0002675597-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 315,000315000 €",No,Brusselsesteenweg 651850- Grimbergen,http://www.berthouts.be/nl/,1817203 - VKG-2022-0,Limburg,,,,38m²square meters,,9m²square meters,16m²square meters,13m²square meters,,,,,,,,,,,€ 887887 €,10m²square meters,,,Banlieu wijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156515,To be defined,1988,Good,4,3,2,,285m²square meters,,Installed,4,2,2,,No,1866m²square meters,34 mmeters,Yes,,West,Yes,,,277 kWh/m²kilowatt hour per square meters,C,20220808-0002652313-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,Yes,No,No,Non flood zone,Residential park,"€ 529,000529000 €",No,Kerkstraat 3 3920- Lommel,http://www.heylenvastgoed.be,69047 - LOM-22-KSC-0,Limburg,,15 m,,,,,,,,,Yes,,,,,,,,"€ 1,9231923 €",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159386,At delivery,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,Non flood zone,,,No,Kerkstraat 3 3920- Lommel,http://www.heylenvastgoed.be,55294 - NWB-22-KLU-0,Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
