,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10148020,After signing the deed,2000,Good,4,2,245m²square meters,1,Hyper equipped,21m²square meters,4,17m²square meters,14m²square meters,9m²square meters,1,2,6m²square meters,No,763m²square meters,Yes,South,Yes,Yes,231 kWh/m²kilowatt hour per square meters,C,20160518-0001862882-1,Not specified,Not specified,No,Gas,Yes,"€ 765,000765000 €","€ 1,0551055 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20727 - VK 4126,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166253,After signing the deed,,As new,4,4,177m²square meters,1,Installed,,2,,,,1,2,,No,507m²square meters,,South West,No,No,313 kWh/m²kilowatt hour per square meters,D,2691326,Not specified,Not specified,,Gas,No,"€ 635,000635000 €",€ 867867 €,Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1201,West Flanders,15 m,1,"Living area (residential, urban or rural)",Yes,Yes,No,25 mmeters,218m²square meters,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165753,After signing the deed,1976,To be done up,4,,280m²square meters,,Installed,10m²square meters,4,24m²square meters,18m²square meters,,1,1,,No,2068m²square meters,Yes,South,,,433 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 465,000465000 €","€ 1,4971497 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20850 - VK4267,West Flanders,,1,,,,,,,,,,,,,,,,,No,,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093752,After signing the deed,1997,Good,4,3,191m²square meters,,Installed,,4,,,,2,2,,No,1320m²square meters,,South West,No,No,288 kWh/m²kilowatt hour per square meters,C,2474682,Not specified,Not specified,No,Fuel oil,Yes,"€ 569,000569000 €","€ 1,0531053 €",No,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1176,West Flanders,13 m,2,"Living area (residential, urban or rural)",Yes,No,No,21 mmeters,730m²square meters,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,Yes,125m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9441206,To be defined,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,De Breyne Pellaertstraat 13 8600- Diksmuide,,,West Flanders,,,,,,,,,,,,,,,,,,,No,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070683,To be defined,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Kinderlaan 17 8670- Oostduinkerke,,,West Flanders,,,,,,,,,,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9899874,At delivery,,,,,,,,,,,,,,,,,,,,,,30 kWh/m²kilowatt hour per square meters,A,Nog te bepalen,30 kg CO₂/m²,Not specified,,,,,,No,Moerkerkse Steenweg 1 8310- Brugge,http://www.immax.be,4754822,West Flanders,,,,,,,,,,,,,,,,,Yes,,No,,Non flood zone,,,,,Yes,,,,,,,,,,,April 1 2023 - 12:00 AM,,,Torhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165752,After signing the deed,1954,Good,3,3,150m²square meters,,Installed,8m²square meters,3,16m²square meters,15m²square meters,14m²square meters,1,,,No,422m²square meters,,,,,450 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 285,000285000 €",€ 802802 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20840 - VK 4247,West Flanders,,1,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067960,At delivery,,,,2,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Kustlaan 105 8300- Knokke-Heist,http://www.hetzoute.be,4881852,West Flanders,,1,,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142995,Depending on the tenant,1974,As new,3,2,170m²square meters,,USA hyper equipped,,3,15m²square meters,10m²square meters,9m²square meters,2,3,,Yes,237m²square meters,,,,No,118 kWh/m²kilowatt hour per square meters,B,220928-0002684532-RES-1,3899 kg CO₂/m²,Not specified,No,Gas,Yes,"€ 1,095,0001095000 €","€ 1,1201120 €",No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4961839,West Flanders,,1,"Living area (residential, urban or rural)",,,,,237m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,,,,Yes,No,1,,,,,Connected,Yes,,,,April 1 2023 - 12:00 AM,,,1 ZOUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108593,After signing the deed,1978,To be done up,2,,231m²square meters,,Semi equipped,12m²square meters,3,16m²square meters,12m²square meters,12m²square meters,1,2,,No,214m²square meters,,,,,422 kWh/m²kilowatt hour per square meters,E,20190221-0002134545-RES-1,Not specified,Not specified,No,Electric,Yes,"€ 249,000249000 €",€ 676676 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20399 - VK 3971,West Flanders,,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,21m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997783,Immediately,1979,To be done up,3,2,136m²square meters,,Installed,,4,18m²square meters,17m²square meters,8m²square meters,2,3,,,366m²square meters,,South West,No,No,305 kWh/m²kilowatt hour per square meters,D,20220627-0002630019-res-1,Not specified,Not specified,,Gas,Yes,"€ 365,000365000 €","€ 1,3061306 €",No,,,,West Flanders,,,"Living area (residential, urban or rural)",,No,No,,298m²square meters,No,No,No,No,Yes,No,,No,Yes,,,No,,,Yes,,,,,No,No,Yes,Yes,Connected,Yes,Yes,,,,6m²square meters,,,20m²square meters,,No,No,No,No,No,No,No,No,No,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9886073,After signing the deed,1934,Just renovated,2,,244m²square meters,,Installed,18m²square meters,5,15m²square meters,15m²square meters,20m²square meters,4,5,,No,115m²square meters,,,,,81 kWh/m²kilowatt hour per square meters,A,20220421-0002587301-RES-1,Not specified,Not specified,No,Electric,Yes,"€ 585,000585000 €",,No,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1080,West Flanders,5.8 m,,Urban,,No,No,5.8 mmeters,,,,,,,,No,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,Yes,,,,15m²square meters,21m²square meters,,30m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042525,After signing the deed,1881,Good,2,,283m²square meters,,Hyper equipped,,3,,,,1,,,No,429m²square meters,,South,No,No,389 kWh/m²kilowatt hour per square meters,D,2489705,Not specified,Not specified,No,Gas,Yes,"€ 489,000489000 €","€ 1,7221722 €",Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1159,West Flanders,10 m,,Urban,Yes,No,No,,90m²square meters,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,Yes,300m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
