,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
2,9160933,1.0,,,"Living area (residential, urban or rural)",84,2.0,9,12,,,,47,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,233975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
3,9160884,3.0,32.0,10.0,"Living area (residential, urban or rural)",63,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,173200.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
5,9160880,1.0,32.0,10.0,"Living area (residential, urban or rural)",63,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,184920.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
6,9160931,1.0,,,"Living area (residential, urban or rural)",86,2.0,9,12,,,,32,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,229530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
7,9160881,1.0,32.0,10.0,"Living area (residential, urban or rural)",61,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,191940.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
10,9160932,1.0,,,"Living area (residential, urban or rural)",93,2.0,9,14,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,227135.0,,10,,,,,,,,,,,,,,,,,,,,,,,,,30
11,9160882,2.0,32.0,10.0,"Living area (residential, urban or rural)",63,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,170770.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
12,9160935,1.0,,,"Living area (residential, urban or rural)",84,2.0,10,13,,,,39,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,228750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
13,9160938,1.0,,,"Living area (residential, urban or rural)",84,2.0,10,12,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,218145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
17,9160948,3.0,,,"Living area (residential, urban or rural)",85,2.0,10,13,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,222945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
20,9160939,2.0,,,"Living area (residential, urban or rural)",86,2.0,9,14,,,,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,235150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
21,9160945,2.0,,,"Living area (residential, urban or rural)",87,2.0,10,12,,,,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,223165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
22,9160941,2.0,,,"Living area (residential, urban or rural)",85,2.0,10,13,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,218405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
24,9160940,2.0,,,"Living area (residential, urban or rural)",87,2.0,11,12,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,220770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
25,9160947,3.0,,,"Living area (residential, urban or rural)",87,2.0,11,12,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,225270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
27,9161112,1.0,32.0,10.0,"Living area (residential, urban or rural)",,1.0,12,,,,1.0,17,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,,,Yes,Gas,Yes,184920.0,,,,As new,,,3.0,,,,,,,,,,,,,,,,,,,,
36,9162094,9.0,,,,,,,,,1.0,1.0,,,345.0,D,Not specified,Not specified,No,Franchommelaan 126 8370- Blankenberge,,,,,,125000.0,,,,,,,,,,,,,,,272.272,,,,,,Yes,,,,,,
39,9163342,1.0,,1.0,,93,2.0,14,14,,1.0,2.0,12,,,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,31m² square meters,,,Gas,Yes,265000.0,Installed,,2020.0,,Yes,,4.0,,,,,,,,,,,,,,,,,,,,31
41,9162472,3.0,,,,100,2.0,,,,1.0,1.0,,,248.0,C,Not specified,Not specified,No,"Yv. Serruysstraat, 22 8930- Menen",,Yes,,Gas,Yes,245000.0,Installed,,1980.0,Good,Yes,,,,,,,,No,,761.761,,,,,,Yes,,,,,,
48,9165476,12.0,,,,80,2.0,,,,1.0,,,,254.0,C,Not specified,23004 kWh/year,No,Chaussée de Lodelinsart 12 6060- Gilly,,,,,,74000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9165517,1.0,,1.0,,93,2.0,14,14,,1.0,2.0,12,,,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,31m² square meters,,,Gas,Yes,265000.0,Installed,,2020.0,,Yes,,4.0,,,,,,,,,,,,,,,,,,,,31
68,9166285,1.0,,,"Living area (residential, urban or rural)",84,2.0,14,13,,1.0,1.0,6,South,,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",,Yes,,,,196450.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
69,9166686,1.0,1.0,,,,1.0,,,,,,,,129.0,B,Not specified,Not specified,No,Pr. Thuysbaertlaan 12/b 9160- Lokeren,,Yes,No,,No,215000.0,,,,,,,2.0,No,,,,Yes,Yes,€ 50 50 €,,No,,,,,,,,,,,
73,9166292,2.0,,,"Living area (residential, urban or rural)",93,2.0,14,12,,1.0,1.0,6,South,,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",,Yes,,,,205750.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
78,9167212,1.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,235900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
79,9167210,1.0,,,,86,2.0,,,,2.0,,15,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,248900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
80,9167211,1.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,225900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
82,9167214,1.0,,,,86,2.0,,,,1.0,,12,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,245900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
92,9167222,2.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,253900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
93,9167227,2.0,,,,85,2.0,,,,1.0,,13,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,259900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
95,9167219,1.0,,,,74,1.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,205900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
97,9167232,2.0,,,,74,1.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,208900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
103,9167236,3.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,232900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
106,9167235,3.0,,,,86,2.0,,,,1.0,,14,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,263900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
