,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9001485,9001485,house,villa,220000,forsale,03179,l,,,,,,2,165,,,,,,true,,,
9001483,9001483,house,villa,849000,forsale,03560,l,,,,,,3,800,,,,,,true,,,
9001474,9001474,house,villa,174900,forsale,03350,l,,,,,,3,200,,,,,,true,,,
9001479,9001479,house,villa,475522,forsale,03170,l,,,,,,4,354,,,,,,true,,,
9001492,9001492,house,villa,690000,forsale,28950,l,,,,,,3,680,,,,,,true,,,
9001473,9001473,house,villa,465000,forsale,03509,l,,,,,,3,376,,,,,,true,,,
9001521,9001521,house,villa,399900,forsale,30720,l,,,,,,3,216,,,,,,true,,,
9001488,9001488,house,villa,1350000,forsale,28950,l,,,,,,3,1259,,,,,,true,,,
9001482,9001482,house,villa,354000,forsale,03178,l,,,,,,3,150,,,,,,true,,,
9001489,9001489,house,villa,295000,forsale,30740,l,,,,,,3,160,,,,,,true,,,
9001518,9001518,house,villa,475000,forsale,03111,l,,,,,,3,817,,,,,,true,,,
9001500,9001500,house,villa,259000,forsale,03520,l,,,,,,3,157,,,,,,true,,,
9001515,9001515,house,villa,299900,forsale,03178,l,,,,,,2,143,,,,,,true,,,
9001516,9001516,house,house,209900,forsale,03509,l,,,,,,3,175,,,,,,true,,,
9001522,9001522,house,villa,325000,forsale,03190,l,,,,,,3,260,,,,,,true,,,
9001525,9001525,house,villa,711000,forsale,03509,l,,,,,,3,595,,,,,,true,,,
9001527,9001527,house,villa,182000,forsale,03111,l,,,,,,3,123,,,,,,true,,,
9001537,9001537,house,villa,1390000,forsale,03001,l,,,,,,3,403,,,,,,true,,,
9001530,9001530,house,villa,1915000,forsale,14880,l,,,,,,3,0,,,,,,true,,,
9001533,9001533,house,house,215000,forsale,30500,l,,,,,,3,213,,,,,,true,,,
9001542,9001542,house,villa,390000,forsale,04648,l,,,,,,3,281,,,,,,true,,,
9001528,9001528,house,villa,159000,forsale,03111,l,,,,,,2,140,,,,,,true,,,
9001550,9001550,house,villa,352000,forsale,03169,l,,,,,,3,237,,,,,,true,,,
9001551,9001551,house,villa,799000,forsale,03189,l,,,,,,3,500,,,,,,true,,,
9001556,9001556,house,villa,3450000,forsale,03191,l,,,,,,7,874,,,,,,true,,,
9001557,9001557,house,villa,4500000,forsale,30370,l,,,,,,5,1000,,,,,,true,,,
9001558,9001558,house,villa,1150000,forsale,30730,l,,,,,,3,600,,,,,,true,,,
9001559,9001559,house,villa,2400000,forsale,30370,l,,,,,,3,500,,,,,,true,,,
9001580,9001580,house,villa,239900,forsale,03190,l,,,,,,2,122,,,,,,true,,,
9001600,9001600,house,villa,385000,forsale,03180,l,,,,,,3,400,,,,,,true,,,
9001585,9001585,house,house,225000,forsale,03520,l,,,,,,3,140,,,,,,true,,,
9001603,9001603,house,villa,229000,forsale,03178,l,,,,,,3,115,,,,,,true,,,
9001605,9001605,house,villa,174900,forsale,04400,l,,,,,,2,212,,,,,,true,,,
9001604,9001604,house,villa,209900,forsale,04400,l,,,,,,3,259,,,,,,true,,,
9001615,9001615,house,villa,625000,forsale,03700,l,,,,,,3,501,,,,,,true,,,
9001609,9001609,house,villa,349000,forsale,30385,l,,,,,,3,300,,,,,,true,,,
9001606,9001606,house,villa,475000,forsale,30380,l,,,,,,4,440,,,,,,true,,,
9001617,9001617,house,villa,485000,forsale,03194,l,,,,,,2,410,,,,,,true,,,
9001610,9001610,house,villa,303000,forsale,30380,l,,,,,,3,455,,,,,,true,,,
9001616,9001616,house,villa,510000,forsale,03194,l,,,,,,4,386,,,,,,true,,,
9001622,9001622,house,villa,519990,forsale,03189,l,,,,,,4,176,,,,,,true,,,
9001630,9001630,house,villa,2450000,forsale,03500,l,,,,,,4,1735,,,,,,true,,,
9001625,9001625,house,house,193000,forsale,03670,l,,,,,,3,145,,,,,,true,,,
9001634,9001634,house,villa,1650000,forsale,03710,l,,,,,,3,823,,,,,,true,,,
9001635,9001635,house,villa,1450000,forsale,03724,l,,,,,,4,922,,,,,,true,,,
9001636,9001636,house,villa,1490000,forsale,03724,l,,,,,,3,802,,,,,,true,,,
9001647,9001647,house,villa,719950,forsale,03170,l,,,,,,4,520,,,,,,true,,,
9001649,9001649,house,house,368000,forsale,03140,l,,,,,,3,185,,,,,,true,,,
9001654,9001654,house,villa,605000,forsale,03170,l,,,,,,3,530,,,,,,true,,,
9001653,9001653,house,villa,557600,forsale,03170,l,,,,,,4,700,,,,,,true,,,
9001652,9001652,house,villa,621900,forsale,03170,l,,,,,,4,810,,,,,,true,,,
9001650,9001650,house,villa,249900,forsale,03179,l,,,,,,3,210,,,,,,true,,,
9001658,9001658,house,house,231695,forsale,30380,l,,,,,,3,195,,,,,,true,,,
9001659,9001659,house,house,220616,forsale,30380,l,,,,,,2,112,,,,,,true,,,
9001670,9001670,house,villa,695000,forsale,03509,l,,,,,,3,386,,,,,,true,,,
9001667,9001667,house,villa,394000,forsale,03509,l,,,,,,3,221,,,,,,true,,,
9001674,9001674,house,villa,325000,forsale,03187,l,,,,,,3,212,,,,,,true,,,
9001665,9001665,house,villa,330000,forsale,03520,l,,,,,,3,301,,,,,,true,,,
9001660,9001660,house,villa,243900,forsale,03178,l,,,,,,2,165,,,,,,true,,,
9001681,9001681,house,villa,235000,forsale,03187,l,,,,,,3,187,,,,,,true,,,
9001685,9001685,house,villa,550000,forsale,03180,l,,,,,,3,290,,,,,,true,,,
9001676,9001676,house,villa,299900,forsale,03178,l,,,,,,3,162,,,,,,true,,,
9001691,9001691,house,villa,269000,forsale,03150,l,,,,,,3,178,,,,,,true,,,
9001690,9001690,house,villa,695000,forsale,03520,l,,,,,,3,629,,,,,,true,,,
9001692,9001692,house,villa,274000,forsale,03150,l,,,,,,3,195,,,,,,true,,,
9001693,9001693,house,villa,530000,forsale,03170,l,,,,,,3,390,,,,,,true,,,
9762724,9762724,houseunit,houseunit,noprice,forsale,9160,xl,,,,,,3,286,,,,,,,1,,
9762725,9762725,houseunit,houseunit,noprice,forsale,9160,xl,,,,,,3,294,,,,,,,,,
9762728,9762728,houseunit,houseunit,noprice,forsale,9160,xl,,,,,,3,182,,,,,,,,,
9762729,9762729,houseunit,houseunit,noprice,forsale,9160,xl,,,,,,3,399,,,,,,,,,
9762727,9762727,houseunit,houseunit,noprice,forsale,9160,xl,,,,,,3,182,,,,,,,,,
