,Floor,Number of floors,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Terrace surface,Terrace orientation,Accessible for disabled people,Intercom,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Website,Available as of,Living room surface,Garden surface,Elevator,TV cable,Heating type,Double glazing,Garden orientation,Price,Kitchen type,Kitchen surface,Neighbourhood or locality,Construction year,Building condition,Virtual visit,Basement,Furnished,Thermic solar panels,External reference,Number of frontages,Swimming pool,Property name,Street frontage width,Dining room,Dressing room,Laundry room,Basement surface,Visio phone,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Monthly charges,Cadastral income,Agent's name,Flood zone type,Office,Armored door,Caretaker,Secure access / alarm,As built plan,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Common water heater,Total ground floor buildable,Living room,Garden,Terrace,Available date,Bedroom 4 surface,Obligation to build,How many fireplaces?,Jacuzzi,Sauna,Office surface,Professional space,Attic surface,Sea view,Attic,Internet,Type of building,Number of annexes,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Air conditioning
9160919,4,4,32,10,"Living area (residential, urban or rural)",101m² square meters,3,9m² square meters,9m² square meters,12m² square meters,1,1,2,45m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160934,1,4,,,"Living area (residential, urban or rural)",84m² square meters,2,10m² square meters,13m² square meters,,,,,25m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,38m² square meters,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160933,1,4,,,"Living area (residential, urban or rural)",84m² square meters,2,9m² square meters,12m² square meters,,,,,47m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,57m² square meters,Yes,Yes,Gas,Yes,South West,"€ 233,975 233975 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160884,3,,32,10,"Living area (residential, urban or rural)",63m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,"€ 173,200 173200 €",Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160885,3,,32,10,"Living area (residential, urban or rural)",61m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,,Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160880,1,3,32,10,"Living area (residential, urban or rural)",63m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,"€ 184,920 184920 €",Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160931,1,4,,,"Living area (residential, urban or rural)",86m² square meters,2,9m² square meters,12m² square meters,,,,,32m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 229,530 229530 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160881,1,3,32,10,"Living area (residential, urban or rural)",61m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,"€ 191,940 191940 €",Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160883,2,,32,10,"Living area (residential, urban or rural)",61m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,,Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160808,4,8,1,,"Living area (residential, urban or rural)",95m² square meters,2,16m² square meters,13m² square meters,,1,1,1,8m² square meters,South,Yes,,155 kWh/m² kilowatt hour per square meters,D,2021201130000051122011,33 kg CO₂/m²,Not specified,No,Avenue René Gobert 26 1180- Uccle,,After signing the deed,50m² square meters,,Yes,Yes,Gas,Yes,,,USA hyper equipped,10m² square meters,METTEWIE - PARC DU SCHEUTBOS,2012,As new,,,No,,,2,,RESIDENCE DAVIS HOUSE,50 m,Yes,Yes,Yes,3m² square meters,Yes,Yes,No,No,No,Residential area with cultural historical aesthetic value,€ 200 200 €,"€ 1,425 1425 €",Cédric Mathonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
