,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9314861,9314861,house,house,188000,forsale,9260,m,installed,1978,good,pellet,197,3,105,true,,70,,,,,2,
9315097,9315097,house,house,420867,forsale,9860,m,installed,2022,asnew,gas,40,3,536,,,,,,,1,,1
9314557,9314557,house,apartmentblock,318000,forsale,9300,m,installed,1930,good,gas,266,6,110,,,,,,,,,
9315283,9315283,house,castle,1590000,forsale,49000,m,,,,,,8,39250,,,,,,,,,
9314264,9314264,house,house,noprice,forsale,8020,xl,usahyperequipped,1978,asnew,gas,211,4,972,,true,,true,true,,1,1,
9315421,9315421,house,house,noprice,forsale,2400,m,installed,,asnew,electric,496,3,1007,,true,,true,,,1,1,
9315098,9315098,house,house,402887,forsale,9860,m,installed,2022,asnew,gas,40,3,554,,,,,,,1,,1
9315561,9315561,houseunit,houseunit,345000,forsale,2560,m,installed,,,,,3,0,,,84,,,,,2,1
9315082,9315082,house,house,245000,forsale,7700,m,installed,,,gas,191,4,0,,,,,,,,,
9315560,9315560,houseunit,houseunit,345000,forsale,2560,m,installed,,,,,3,0,,,78,,,,,2,1
9315557,9315557,housegroup,housegroup,345000-345000,forsale,2560,m,,,,,,,,,,,,,,,,1
9315559,9315559,houseunit,houseunit,345000,forsale,2560,m,installed,,,,,3,0,,,78,,,,,2,1
9315049,9315049,house,house,noprice,forsale,3530,l,,1964,tobedoneup,fueloil,396,3,1465,,true,,true,,,,,
9315562,9315562,houseunit,houseunit,345000,forsale,2560,m,installed,,,,,3,0,,,84,,,,,2,1
9315563,9315563,houseunit,houseunit,345000,forsale,2560,m,installed,,,,,3,0,,,78,,,,,2,1
9315564,9315564,houseunit,houseunit,noprice,forsale,2560,m,installed,,,,,3,0,,,64,,,,,2,
9315565,9315565,houseunit,houseunit,noprice,forsale,2560,m,installed,,,,,3,0,,,94,,,,,2,
9315566,9315566,houseunit,houseunit,noprice,forsale,2560,m,installed,,,,,3,0,,,206,,,,,2,
9315567,9315567,houseunit,houseunit,noprice,forsale,2560,m,installed,,,,,3,0,,,257,,,,,2,
9315650,9315650,house,house,noprice,forsale,6800,m,,1920,torenovate,,696,2,700,true,true,,,,,,2,
9315697,9315697,housegroup,housegroup,334000-373000,forsale,8700,xl,,,,,,,,,,,,,,,,1
9315699,9315699,houseunit,houseunit,noprice,forsale,8700,xl,hyperequipped,2021,,,,3,253,,,,,,,,,
9315698,9315698,houseunit,houseunit,373000,forsale,8700,xl,hyperequipped,2021,,,,3,340,,,,,,,,,1
9315701,9315701,houseunit,houseunit,354000,forsale,8700,xl,hyperequipped,2021,,,,3,305,,,,,,,,,1
9315700,9315700,houseunit,houseunit,335000,forsale,8700,xl,hyperequipped,2021,,,,3,299,,,,,,,,,1
9315704,9315704,houseunit,houseunit,noprice,forsale,8700,xl,hyperequipped,2021,,,,3,326,,,,,,,,,
9315702,9315702,houseunit,houseunit,351000,forsale,8700,xl,hyperequipped,2021,,,,3,299,,,,,,,,,1
9315703,9315703,houseunit,houseunit,344000,forsale,8700,xl,hyperequipped,2021,,,,3,328,,,,,,,,,1
9315953,9315953,house,house,noprice,forsale,8000,xl,,,,,454,2,0,,,,,,,,,
9315787,9315787,house,house,noprice,forsale,7700,xl,notinstalled,,justrenovated,gas,235,3,247,,true,150,true,,,,,
9315705,9315705,houseunit,houseunit,344000,forsale,8700,xl,hyperequipped,2021,,,,3,326,,,,,,,,,1
9315707,9315707,houseunit,houseunit,noprice,forsale,8700,xl,hyperequipped,2021,,,,3,333,,,,,,,,,
9315706,9315706,houseunit,houseunit,337000,forsale,8700,xl,hyperequipped,2021,,,,3,258,,,,,,,,,1
9315846,9315846,house,villa,noprice,forsale,1330,xl,hyperequipped,1989,asnew,fueloil,226,5,2517,true,true,2517,true,,true,1,10,
9315974,9315974,house,house,558500,forsale,3080,xl,,,,,,3,566,,,,,,,1,,
9316091,9316091,house,villa,630350,forsale,3120,m,usahyperequipped,2021,asnew,,,3,684,,,,true,,,1,1,
9316394,9316394,house,house,noprice,forsale,9800,xl,,1942,asnew,,233,3,139,,true,,,,,,2,
9316561,9316561,house,house,195000,forsale,6150,xl,installed,1970,tobedoneup,,703,3,123,,,,true,,,,,
9316564,9316564,house,house,79000,forsale,7100,xl,notinstalled,,good,,,3,530,true,,,,,,1,,
9316587,9316587,house,house,noprice,forsale,3460,xl,installed,2022,,gas,,3,447,true,,,,,,,,
9316562,9316562,house,house,169000,forsale,6061,xl,semiequipped,1900,tobedoneup,gas,493,3,644,true,true,300,true,,,1,2,
9316588,9316588,house,house,noprice,forsale,3460,xl,installed,2022,,gas,,3,436,true,,,,,,,,
9316589,9316589,house,house,noprice,forsale,2400,xl,installed,2022,,gas,,3,452,true,,,,,,,,
9316959,9316959,house,house,noprice,forsale,4350,m,hyperequipped,,asnew,fueloil,446,3,959,,true,,true,,,4,3,
9317416,9317416,house,house,noprice,forsale,1050,l,installed,,,gas,213,5,0,,true,,,,,,,
9316993,9316993,house,house,noprice,forsale,7620,m,,,,fueloil,227,4,1603,,,,,,,1,3,
