,Available as of,Available date,Neighbourhood or locality,Covered parking spaces,Outdoor parking spaces,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Flood zone type,Tenement building,Address,Website,External reference,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Living area,Living room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Basement,Attic,Furnished,Surface of the plot,Width of the lot on the street,"Gas, water & electricity",Garden surface,Terrace,Elevator,TV cable,Swimming pool,Heating type,Double glazing,Planning permission obtained,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Latest land use designation,Price,Cadastral income,Living room surface,Dining room,Basement surface,Attic surface,Connection to sewer network,Proceedings for breach of planning regulations,Virtual visit,Office surface,Office,Accessible for disabled people,Intercom,As built plan,Garden orientation,Terrace surface,Bedroom 4 surface,Dressing room,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Secure access / alarm,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,How many fireplaces?,Garden,Bedroom 5 surface,Professional space surface
10154577,At delivery,June 30 2024 - 12:00 AM,Brabant Flamand,1,1,115 kWh/m² kilowatt hour per square meters,B,Not specified,45 kg CO₂/m²,Not specified,Non flood zone,No,Boulevard de la Woluwe 62 boîte 3 1200- Woluwe-St-Lambert,http://www.latouretpetit.be,4930894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152278,After signing the deed,,,,,623 kWh/m² kilowatt hour per square meters,G,20210521003747,93 kg CO₂/m²,109795 kWh/year,,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4966492,1949,To be done up,17.5 m,3,Isolated,176m² square meters,Yes,Semi equipped,14m² square meters,3,11m² square meters,11m² square meters,14m² square meters,2,1,2,Yes,Yes,No,480m² square meters,40.4 m meters,No,290m² square meters,Yes,No,Yes,No,Wood,Yes,Yes,190m² square meters,No,No,"Living area (residential, urban or rural)","€ 145,000 145000 €",€ 302 302 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151895,After signing the deed,,Hannut et 5 kms,,,510 kWh/m² kilowatt hour per square meters,F,20201005010094,128 kg CO₂/m²,105321 kWh/year,,No,Chaussée de Tirlemont 15/1 4260- Braives,http://www.immodemarneffe.be,4966677,1900,To be done up,41 m,4,Countryside,155m² square meters,,Semi equipped,25m² square meters,3,6m² square meters,12m² square meters,16m² square meters,1,1,2,,,No,945m² square meters,,No,400m² square meters,Yes,,,,Fuel oil,,,237m² square meters,No,,"Living area (residential, urban or rural)","€ 235,000 235000 €",€ 510 510 €,24m² square meters,Yes,27m² square meters,110m² square meters,Connected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153006,At delivery,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,No,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,No,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151862,At delivery,February 28 2025 - 12:00 AM,Gent en omstreken,,,Not specified,Not specified,Not specified,Not specified,Not specified,Non flood zone,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4966777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153222,At delivery,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153226,At delivery,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,No,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149128,After signing the deed,December 1 2022 - 12:00 AM,,,,252 kWh/m² kilowatt hour per square meters,C,20190815007886,47 kg CO₂/m²,30697 kWh/year,Non flood zone,No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4933897,1900,Good,8 m,2,Urban,106m² square meters,,Installed,14m² square meters,3,25m² square meters,25m² square meters,11m² square meters,1,2,2,Yes,Yes,No,40m² square meters,8 m meters,Yes,,,No,Yes,No,Gas,Yes,,40m² square meters,No,No,"Living area (residential, urban or rural)","Make an offer starting from€ 159,000 Make an offer starting from159000 €",€ 438 438 €,19m² square meters,Yes,,,Connected,No,Link to the virtual visit,7m² square meters,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150355,After signing the deed,,,1,,312 kWh/m² kilowatt hour per square meters,D,20220617017391,76 kg CO₂/m²,90274 kWh/year,,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,3067 - 2447,1958,Good,7 m,4,Urban,290m² square meters,,Semi equipped,,3,,,,1,,2,Yes,,No,204m² square meters,7 m meters,Yes,100m² square meters,,,,,Fuel oil,Yes,,,,,,"Make an offer starting from€ 289,000 Make an offer starting from289000 €","€ 1,617 1617 €",30m² square meters,,,,,,,14m² square meters,Yes,,,No,North East,10m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10150923,To be defined,September 1 2023 - 12:00 AM,Omgeving Kraainem,1,2,256 kWh/m² kilowatt hour per square meters,C,0002686656-RES-1,Not specified,Not specified,Non flood zone,No,"Wezembeeklaan, 120 1950- Kraainem",http://www.keystones.be,4960416,1991,Good,7 m,3,Isolated,190m² square meters,,Hyper equipped,9m² square meters,4,17m² square meters,16m² square meters,10m² square meters,2,2,2,,Yes,No,390m² square meters,10 m meters,Yes,260m² square meters,,No,Yes,No,Gas,,,,,,,"€ 625,000 625000 €","€ 2,342 2342 €",44m² square meters,,,,Connected,,,10m² square meters,Yes,No,Yes,,,10m² square meters,8m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,
